column,Row Order,JUDDS ADMIRAL,J_ S_ QUICKSILVER ROYAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,HIGHLAND DUNCAN LESTER,ROYALS GREEN ELMO,SOLDIERBOY BOOMER SOONER OF CJF,LAWMUIR ELTON,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,OKURA MANHATTEN-ET SJ3,KAARMONA VALERIAN,PARKWOOD CASPER,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,WILLAND ADS SAMUAL,MOLLY BROOK BRASS MAJOR,LIGHTWOOD LUCRATIVE,DUNCANS PRINCE MALCOLM,SKE IDE,ISDK Q IMPULS,BW PARADE-ET,VAN DER FITS FJORD GR,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,ROCK ELLA PARAMOUNT-ET,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,CRESCENT SENATOR SAM,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,CRESENT ROYAL CHARLES-ET,CARDRONA ROBERTO,WILLIAMS MINSTREL,DARAWAY FLOWERPOWER NAVARA,ALCISTON CHARLIES LAD,AHLEM LEMVIG ABE,KONUI GLEN ELMOS BOWIE,CAIRNBRAE JACES ELTON,PANNOO ABE VANAHLEM,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,OKURA LIKA MURMUR S3J,RICHIES JACE TBONE A364
PANNOO ABE VANAHLEM - VANAHLEM,25,0,0.391067538,0.360566449,0,0.277777778,0.192810458,0.171023965,0,0,0,0.152505447,0,0,0,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025054466,0,0,0.022875817,0,0,0,0,0
CENTRAL VALLEY GEORGE S3J - NZGGEORGEY,26,0.5,0.391067538,0,0.347494553,0,0,0,0,0,0.119825708,0,0,0,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0.02832244,0.026143791,0,0,0,0,0,0,0,0,0.052287582,0,0,0,0.039215686,0,0,0,0,0,0,0,0,0
KAARMONA VASILIS - VASILIS,27,0,0.391067538,0.360566449,0,0.277777778,0.192810458,0.171023965,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035947712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRIETA TGM DIABLO ET - CRVARRIETA,28,0.5,0.391067538,0,0.347494553,0,0,0,0,0,0.119825708,0,0,0,0,0.093681917,0,0,0,0.045751634,0,0,0,0,0,0,0,0.02832244,0.026143791,0,0,0,0,0,0.022875817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUKEROA TGM MANZELLO - CRVMANZELLO,29,0.5,0,0,0.347494553,0,0.192810458,0.171023965,0,0,0.119825708,0,0,0.081699346,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0.02832244,0.026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAYWARDS TGM AIM S3J - NZGHAYWARDS,30,0.5,0,0,0.347494553,0,0.192810458,0.171023965,0,0,0.119825708,0,0,0.081699346,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0.02832244,0.026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENHAVEN TGM GENIUS S3J - NZGGLENGENI,31,0.5,0.391067538,0,0.347494553,0,0,0,0,0,0.119825708,0,0,0,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0.02832244,0.026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRIETA NN DEGREE - CRVDEGREE,32,0.5,0.391067538,0,0.347494553,0,0,0,0,0,0,0,0,0,0,0.093681917,0,0,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022875817,0.021786492,0.021786492,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0
FOXTON NN FROSTY S3J - NZGFROSTING,33,0.5,0,0,0.347494553,0,0.192810458,0.171023965,0,0,0,0,0,0.081699346,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021786492,0.021786492,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0
CANAAN NEVVY PIONEER - CRVCANAAN,34,0.5,0,0,0.347494553,0,0.192810458,0.171023965,0,0,0,0,0,0.081699346,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021786492,0.021786492,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0
DONALDS EDIFY - NZGEDIFY,35,0.5,0.391067538,0,0.347494553,0,0,0,0,0,0.119825708,0,0,0,0,0,0,0,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022875817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KELLAND KC SPEEDWAY - NZGSPEEDWAY,36,0.5,0.391067538,0,0,0,0.192810458,0.171023965,0,0,0,0,0,0.081699346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022875817,0,0,0.052287582,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMERVISTA BOND - ALMERBOND,37,0,0,0,0,0.277777778,0.192810458,0.171023965,0.291938998,0,0,0.152505447,0,0,0,0,0,0.080610022,0.078431373,0,0.053376906,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0.006535948
BROADLIN AUSSIEGOLD P - ET - AUSSIEGOLD,38,0,0.391067538,0,0,0.277777778,0.192810458,0,0,0,0,0.152505447,0,0,0,0,0,0.080610022,0.078431373,0,0.053376906,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025054466,0,0.030501089,0.022875817,0,0,0,0,0
WHELDON GERONEMO - NZGNEMO,39,0.5,0.391067538,0,0,0,0.192810458,0.171023965,0,0,0,0,0,0,0,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
