column,Row Order,KAARMONA VALERIAN,JUDDS ADMIRAL,ROYALS GREEN ELMO,FYN LEMVIG,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,OKURA MANHATTEN-ET SJ3,CLAYDON PARK FLOWER POWER,LIGHTWOOD LUCRATIVE,COMFORT ROYAL ALF (E_T_),ROCK ELLA PERIMITER,TAWA GROVE MAUNGA ET S3J,PARKWOOD CASPER,HIGHLAND DUNCAN LESTER,WINDY WILLOW MONTANA JACE,ISDK Q IMPULS,NOAKES NEVVY SJ2,CAIRNBRAE JACES ELTON,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO ABE VANAHLEM,WILLAND ADS SAMUAL,ALL LYNNS LOUIE VALENTINO,WILLIAMS MINSTREL,MITCHELLS LIKABULL SJ3,OKURA LIKA MURMUR S3J,NOWELL TARSAN,KONUI GLEN ELMOS BOWIE,RICHIES JACE TBONE A364,LAWMUIR ELTON,ALCISTON CHARLIES LAD,DARAWAY FLOWERPOWER NAVARA,VAN DER FITS FJORD GR,SKE IDE,ROCKMAPLE BROOK MONTANA,HIGHLAND MAGIC DUNCAN,AHLEM LEMVIG ABE,WILLIAMS ROBS NORMAN,BW PARADE-ET,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,SILVER FALLS QUICK FAME,BAYLEA PENNYS CARLOS SJ3,CRESENT ROYAL CHARLES-ET,MOLLY BROOK BRASS MAJOR,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,DUNCANS PRINCE MALCOLM,CARDRONA ROBERTO,CRESCENT SENATOR SAM
ARRIETA NN DEGREE - CRVDEGREE,31,0,0.294264333,0,0,0,0.210607583,0.124016083,0,0,0,0,0,0,0.146484,0,0,0,0.22265625,0,0,0,0.114583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055664,0,0,0,0,0,0,0,0,0,0,0.013671667,0.008137583
UPLAND PARK TS INDY S3J - NZGINDY,32,0,0,0,0.20735525,0,0,0,0.238606667,0,0,0,0,0,0.145507417,0,0,0,0.20703125,0,0,0,0.1097005,0,0,0,0,0,0,0,0,0.19954425,0,0,0,0,0,0,0.05175775,0,0,0,0,0,0,0,0,0,0,0.012695083,0
GLENHAVEN TGM GENIUS S3J - NZGGLENGENI,33,0,0.298170583,0,0,0,0.211584167,0.124992667,0,0,0,0,0,0.3046875,0.15039025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0.018879917,0,0,0,0,0,0,0
OKURA LT INTEGRITY - NZGINTEGRITY,34,0,0.294589833,0,0.20735525,0,0,0.124341583,0.238606667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194335917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485025,0,0,0,0,0,0,0,0
BROADLIN 2420 SPIRITUAL - BROADSIDE,35,0,0.29328775,0,0.208331833,0.21549,0,0,0.242512917,0,0,0,0,0,0,0.068356417,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAIRNBRAE TBONE EDISON - CSCEDISON,36,0,0,0,0.208331833,0,0,0.124992667,0,0,0,0.171220333,0,0,0,0.067054333,0.263671833,0,0,0,0,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0
CAIRNBRAE TBONE ENSIGN - CAIRNBONE,37,0,0,0,0.208331833,0,0,0.124992667,0,0,0,0.171220333,0,0,0,0.067054333,0.263671833,0,0,0,0,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0
KELLAND KC SPEEDWAY - NZGSPEEDWAY,38,0,0.29328775,0,0.208331833,0,0,0.124016083,0.242512917,0,0,0,0,0,0,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055989,0,0,0,0,0,0.008137583
SUNSET CANYON DAVID - 0200JE00183,39,0,0,0,0,0.214513417,0,0,0,0,0,0.1663375,0,0,0,0,0,0.264322917,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0.067708,0,0,0,0,0.029622083,0.031575417,0.036458333,0,0,0,0,0.015624583,0.015299083,0,0,0
ALL LYNNS VALENTINO MARVEL - 011JE1118,40,0,0,0,0,0.214513417,0,0,0,0,0,0.1663375,0,0,0,0,0,0.264322917,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0.067708,0,0,0,0,0.029622083,0.031575417,0.036458333,0,0,0,0,0.015624583,0.015299083,0,0,0
