column,Row Order,MOUNTFIELD SSI DCY MOGUL,AMIGHETTI NUMERO UNO,COYNE-FARMS DORCY,ENSENADA TABOO PLANET ET,LONG-LANGS OMAN OMAN,SEAGULL-BAY MVP-ET,SEAGULL-BAY SUPERSIRE,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,DE-SU 521 BOOKEM,BRAEDALE GOLDWYN,SANDY-VALLEY BOLTON,ROYLANE SOCRA ROBUST,PASEN MARSH,ROYLANE BOOKEM BOB 5170-ET,SHOREMAR JAMES,REGANCREST ALTAIOTA,VIEW-HOME MONTEREY-ET,CO-OP BOSSIDE MASSEY - ET,DE-SU BKM MCCUTCHEN,ROSE-BAUM TABOO,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,ROUMARE,MASCOL,SCHILLVIEW OMAN GERARD,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,EMPRISE BELL ELTON,VELVET-VIEW-KJ SOCRATES,COUNTRY ROAD ROUMARE CANBEE,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,PECKENSTEIN FORM BRET,APINA ALTAEMBASSY,BRYCEHOLME SS BOASTFUL,BUSHLEA PERFECTOR BOLD-ET,COGENT SUPERSHOT,COYNE-FARMS JACEY CRI - ET,END-ROAD BEACON,MORNINGVIEW MCC KINGBOY,SCHILLVIEW GARRETT,SEAGULL-BAY SILVER-ET,SIEMERS MOGUL PETY,S-S-I MONTROSS JEDI,STANTONS MAIN EVENT,UECKER SUPERSIRE JOSUPER-ET,VAL-BISSON DOORMAN,VIEW-HOME POWERBALL P ET,ZAHBULLS ALTA1STCLASS
PEAK ALTAMEDERA-ET (s.BANDARES) - 011HO12315,25,0.480298913,0,0.12347113,0.097994913,0,0,0,0,0,0,0,0,0.006453739,0,0,0,0,0,0.003396739,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALA BANDARES SHAYDON ET (s.BANDARES) - STGSHAYDON,26,0.480298913,0,0.12347113,0.097994913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003396739,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE HURON-ET (s.PROPHECY) - 29HO19002,27,0.479619565,0,0.123301304,0,0,0,0.019701087,0,0,0.028872217,0,0,0.006793391,0,0,0,0,0.027173913,0,0.006793478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WELCOME DELPRO 3565-ET (s.SAMURI) - 14HO14442,28,0.479619565,0,0.123301304,0,0,0,0.020380435,0,0,0,0,0,0.006623565,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0.008322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STANTONS GOLDMEDAL (s.) - 0200HO11372,29,0.479619565,0,0.123301304,0,0,0,0,0,0,0,0,0,0.006453739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA SAMARITAN-ET-CNF-DPF-XIF-BLF-PO (s.JERONIMO) - SAMARIA,30,0,0.306555696,0,0.097994913,0,0,0.019191565,0,0.146399217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PEMBERTON (s.PERSEUS) - PEMBERTON,31,0,0.306555696,0,0,0,0,0,0.123639522,0,0.028872217,0,0,0,0,0,0,0.073369565,0,0.002887217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA SHILA-ET-CNF-DPF-XIF-BLF (s.WOOKIE) - SHILA,32,0,0,0,0.097994913,0,0,0,0,0,0.029381739,0.261887609,0,0,0,0,0.078633478,0,0,0,0,0,0,0,0.033627696,0,0,0,0.011039174,0,0,0.003396739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA DEWEY-ET-CNF-DPF-XIF-BLF (s.COMPLETE) - KARDEW,33,0.47927987,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0.002887217,0.006283957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REDMAW FEDORA LASTIN-ET-CNF-DPF-XIF-BLF (s.FEDORA) - LASTIN,34,0.47927987,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0.002887217,0.006283957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PILBARA (s.PERSEUS) - PILBARA,35,0,0.306555696,0,0,0.163722478,0,0,0,0,0.028872217,0,0,0.006453739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
