column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,SHOREMAR JAMES,BRAEDALE GOLDWYN,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,HILL VALLEY BASAR ACME,BASAR,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,GIBBON,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,MADAWASKA AEROSTAR,MARA-THON BW MARSHALL,CARENDA FABULON-ET,A RONNYBROOK PRELUDE ET,ROUMARE,TO-MAR BLACKSTAR ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,REGANCREST ELTON DURHAM,STARTMORE RUDOLPH,FUSTEAD EMORY BLITZ,ENSENADA TABOO PLANET ET,BELT,ROSE-BAUM TABOO,WALKWAY CHIEF MARK,DIXIE-LEE AARON -ET,SANDY-VALLEY BOLTON,LONG-LANGS OMAN OMAN,RICH-RO MARK SAM -ET,FATAL,JENNY-LOU MRSHL TOYSTORY,ELITE GOLD BULLION-IMP-ET,UFM-DUBS ALTAESQUIRE,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,GRAN-J OMAN MCCORMICK,EMERALD-ACRES-SA TONIC ET,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,NORRIELAKE CLEITUS LUKE TWIN,EMERALD-ACR-SA T-BAXTER,GLENN-ANN PALERMO,BUSHLEA PERFECTOR BOLD-ET,REGANCREST ALTAIOTA,MAPLE-DOWNS-I G W ATWOOD
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,25,0,0,0,0,0,0,0,0,0.222222222,0.215277778,0.322916667,0,0.201388889,0.222222222,0,0,0,0.065972222,0,0.194444444,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,26,0.902777778,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065972222,0.006944444,0,0.006944444,0,0.017361111,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,27,0,0,0,0.260416667,0.246527778,0.399305556,0,0,0,0,0,0.232638889,0.201388889,0,0,0,0,0.065972222,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0.003472222,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,28,0,0,0.329861111,0.260416667,0.246527778,0,0,0,0.222222222,0.215277778,0,0,0,0,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,29,0,0,0.329861111,0.260416667,0.246527778,0,0.413194444,0,0,0,0,0,0,0,0,0,0,0.065972222,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,30,0,0,0,0,0,0,0,0,0.222222222,0.215277778,0,0,0.201388889,0,0,0,0,0.065972222,0,0,0,0.336805556,0.055555556,0,0,0,0.006944444,0.131944444,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,31,0,0,0,0.260416667,0.246527778,0,0,0,0.222222222,0.215277778,0,0,0,0,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0.111111111,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,32,0,0,0,0.260416667,0.246527778,0,0,0,0.222222222,0.215277778,0,0,0,0,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0.111111111,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,33,0,0,0,0,0,0,0,0,0.222222222,0.215277778,0.322916667,0,0,0.222222222,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,34,0,0,0,0,0,0,0,0,0.222222222,0.215277778,0.322916667,0,0,0.222222222,0,0,0,0.065972222,0,0,0,0,0.055555556,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0
