column,Row Order,MADAWASKA AEROSTAR,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,BRAEDALE GOLDWYN,SHOREMAR JAMES,A MARK CJ GILBROOK GRAND ET,GIBBON,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,JOCKO BESN,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,OSDEL-ENDEAVOR BOVA CUBBY,HANOVERHILL STARBUCK,PICSTON SHOTTLE,BASAR,SHOREMAR PERFECT STAR (ET),CARENDA FABULON-ET,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,BELT,AG-HIGH SIGHTS BS INGOT-ET,ELITE MOUNTAIN DONOR IMP (E_T),MJR BLACKSTAR EMORY-ET,ROUMARE,BIS-MAY S-E-L MOUNTAIN ET,FUSTEAD EMORY BLITZ,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,ROTHROCK TRADITION LEADMAN,MARA-THON BW MARSHALL,BUSHLEA WAVES FABULON,OUT-JOCK CHOICE AMEL,MAIZEFIELD BELLWOOD - (E_T_),ETAZON CELSIUS,SHEN-VAL NV LM FORMATION-ET,END-ROAD BLACKSTAR MAJIC-ET,LONG-LANGS OMAN OMAN,BUSHLEA PERFECTOR BOLD-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
SEAGULL-BAY SUPERSIRE - 7H11351,39,0,0.325174825,0.286713287,0,0,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101398601,0,0,0.066433566,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,40,0,0.325174825,0.286713287,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0.003496503,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,42,0,0.325174825,0.286713287,0,0,0,0,0,0,0.094405594,0,0,0,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,43,0,0,0,0,0,0,0,0,0.097902098,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174825175,0,0,0,0.097902098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,46,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0.062937063,0,0.01048951,0.045454545,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0,0,0.01048951,0,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
