column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,EMPRISE BELL ELTON,JOCKO BESN,SINGING-BROOK N-B MASCOT ET,MADAWASKA AEROSTAR,OSDEL-ENDEAVOR BOVA CUBBY,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),SOUTHWIND BELL OF BAR-LEE,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,TO-MAR BLACKSTAR ET,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,HANOVERHILL STARBUCK,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,LONG-LANGS OMAN OMAN,SHOREMAR PERFECT STAR (ET),PICSTON SHOTTLE,DIXIE-LEE AARON -ET,ELITE GOLD BULLION-IMP-ET,BELT,A RONNYBROOK PRELUDE ET,AG-HIGH SIGHTS BS INGOT-ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,NORRIELAKE CLEITUS LUKE TWIN,MANNA FARM DEL SANTO,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,EMERALD-ACRES-SA TONIC ET,BUSHLEA WAVES FABULON,FUSTEAD EMORY BLITZ,JARDIN,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,TOP DECK KO PIERRE,BUSHLEA PERFECTOR BOLD-ET,COUNTRY ROAD ROUMARE CANBEE
AMIGHETTI NUMERO UNO - 0200HO07450,27,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0.143939394,0.136363636,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.106060606,0,0.068181818,0.083333333,0,0,0.022727273,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,28,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0.143939394,0.136363636,0,0,0,0,0,0,0,0.128787879,0.090909091,0,0,0.098484848,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,29,0.522727273,0.416666667,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0.03030303,0,0.022727273,0.022727273,0,0,0
EVEN-PAR ZUMA - 29HO16607,30,0.522727273,0.416666667,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0.03030303,0,0.022727273,0.022727273,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,31,0.522727273,0.416666667,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0.03030303,0,0.022727273,0.022727273,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,32,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0.318181818,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143939394,0,0,0,0,0,0,0,0,0,0,0.037878788,0,0
DELTA TITANIUM - CRVTITANIUM,33,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0.143939394,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0.098484848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,34,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0,0.136363636,0,0,0,0,0,0,0,0.128787879,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,35,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106060606,0,0,0.083333333,0,0,0,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,36,0.522727273,0.416666667,0,0,0,0,0,0,0.333333333,0,0,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
