column,Row Order,GIBBON,A RONNYBROOK PRELUDE ET,HANOVERHILL STARBUCK,BIS-MAY S-E-L MOUNTAIN ET,CARENDA FABULON-ET,CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),FATAL,JOCKO BESN,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,ELITE GOLD BULLION-IMP-ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,AG-HIGH SIGHTS BS INGOT-ET,BELT,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,HANOVER HILL INSPIRATION,ETAZON CELSIUS,A MARK CJ GILBROOK GRAND ET,CAL-CLARK BOARD CHAIRMAN,NORRIELAKE CLEITUS LUKE TWIN,HOW-EL-ACRES K BELLMAN ET,BUSHLEA WAVES FABULON,LYLEHAVEN AMBITION ET,MARA-THON BW MARSHALL,BRAEDALE GOLDWYN,MAIZEFIELD BELLWOOD - (E_T_),DELTA CLEITUS JABOT,JARDIN,MANNA FARM DEL SANTO,ETAZON ADDISON,BADGER-BLUFF FANNY FREDDIE,B-Y-U MANDEL BOMBAY,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,DE-SU DISTINCTION 11130,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,HA-HO CUBBY MANFRED-ET,HONEYCREST BOMBAY NIFTY,LADYS-MANOR PL SHAMROCK,LONG-LANGS OMAN OMAN,LUTZ-MEADOWS E MANDEL-ET
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,26,0,0,0,0,0,0,0,0,0,0.151832461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,27,0,0,0,0,0,0.230366492,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,28,0,0,0,0,0.298429319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,29,0,0,0,0,0,0.230366492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031413613,0,0.020942408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0.031413613,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0.031413613,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,32,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0.031413613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,33,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,34,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,35,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
