column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,HILL VALLEY BASAR ACME,END-ROAD BEACON,COYNE-FARMS DORCY,HA-HO CUBBY MANFRED-ET,BUNDALONG MARKS MEDALLION,SANDY-VALLEY BOLTON,SHOREMAR JAMES,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,JOCKO BESN,BASAR,ROSE-BAUM TABOO,MADAWASKA AEROSTAR,ROUMARE,CARENDA FABULON-ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,CHARLESDALE SUPERSTITION,ETAZON KNOCK OUT,GIBBON,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,A MARK CJ GILBROOK GRAND ET,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,FATAL,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,STARTMORE RUDOLPH,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,UFM-DUBS ALTAESQUIRE
LARCREST CAYLE-ETS - 29HO18041,26,0.992395436,0,0.046102637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,27,0.992395436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017110268,0,0,0,0,0,0.007129187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALISTER CANJAM 143-ET - CANJAM,28,0,0.288022788,0,0,0,0.244771802,0,0,0.075569165,0,0,0,0,0,0.038022818,0.082223341,0.060836144,0,0,0.066539932,0,0,0,0.021861965,0,0,0.023763471,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,29,0,0.293726211,0,0.159695837,0,0,0,0,0.076995051,0,0,0.055132965,0,0.116443391,0,0,0,0,0.092201137,0,0,0.063209255,0,0,0,0,0,0,0,0.013307256,0,0.014732899,0,0,0,0.010930861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,30,0,0.288022788,0,0.136882146,0,0,0,0,0.075569165,0,0,0.049429542,0,0.115017504,0.038022818,0,0,0,0,0,0,0,0,0,0,0,0,0.011406602,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,31,0,0.286596902,0.047528523,0.136882146,0,0,0,0,0,0,0,0.049429542,0,0.115017504,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,32,0,0.286596902,0.047528523,0.136882146,0,0,0,0,0,0,0,0.049429542,0,0.115017504,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRK ANDREWS PICOLA M122 - TEMPTATION,33,0,0,0.047528523,0,0,0.244771802,0,0,0,0,0,0,0,0,0,0.082223341,0.060836144,0.011881857,0,0.066539932,0.036596932,0,0,0.021861965,0,0,0.023763471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,34,0,0,0.047528523,0.131178723,0,0.244771802,0,0,0,0,0,0.048003656,0,0,0,0,0.060836144,0.011881857,0,0,0.036596932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003326784,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,35,0,0.288022788,0,0,0,0,0,0.12357416,0.075569165,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,36,0,0.286596902,0.047528523,0,0,0,0,0,0,0,0,0,0,0,0,0.082223341,0,0.011881857,0,0.066539932,0,0,0,0.021861965,0,0,0.023763471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,37,0,0.286596902,0.046102637,0,0,0,0,0.12357416,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,38,0,0.286596902,0.046102637,0,0,0,0,0.12357416,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,39,0,0.286596902,0.047528523,0.131178723,0,0,0,0,0,0,0,0.048003656,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,40,0,0.286596902,0.047528523,0.131178723,0,0,0,0,0,0,0,0.048003656,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,41,0,0,0.047528523,0,0,0.244771802,0,0,0,0,0,0,0,0,0,0.082223341,0.060836144,0.011881857,0,0,0.036596932,0,0,0.021861965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,42,0,0.286596902,0,0,0,0,0,0.12357416,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,43,0,0.288022788,0.047528523,0,0,0,0,0,0.075569165,0,0,0,0,0,0.038022818,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,44,0,0.286596902,0.046102637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017110268,0,0,0,0.055133087,0,0.007129187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,45,0,0.286596902,0,0,0,0,0,0,0,0,0.070817469,0,0,0,0.032319396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,46,0,0,0.046102637,0,0,0,0,0.12357416,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,47,0,0,0.047528523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0.017110268,0,0,0,0,0,0.007129187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,48,0,0,0.053231946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0.002376274,0,0,0.003326784,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,49,0,0,0.053231946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0.002376274,0,0,0.003326784,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,50,0,0,0.047528523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
