column,Row Order,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,SINGING-BROOK N-B MASCOT ET,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,NORRIELAKE CLEITUS LUKE TWIN,SHOREMAR JAMES,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,HANOVERHILL STARBUCK,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,MARA-THON BW MARSHALL,Q250 BESNE BUCK,ROTHROCK TRADITION LEADMAN,BRABANT STAR PATRON,MAIZEFIELD BELLWOOD - (E_T_),KED JUROR ET,OUT-JOCK CHOICE AMEL,SHEN-VAL NV LM FORMATION-ET,BIS-MAY TRADITION CLEITUS,CARLIN-M IVANHOE BELL,BIS-MAY S-E-L MOUNTAIN ET,LONG-LANGS OMAN OMAN,DELLKA JUROR GORDON - TW,GIBBON,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,AG-HIGH SIGHTS BS INGOT-ET,ELITE GOLD BULLION-IMP-ET,BURLANE TENNYSON,EXRANCO THOR,EMERALD-ACRES-SA TONIC ET,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,LYLEHAVEN AMBITION ET,JENNY-LOU MRSHL TOYSTORY,JARDIN,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
JET STAR MANOMAN TRICKIN - TRICKIN,25,0.5,0,0,0,0,0.076612903,0,0.036290323,0,0.108870968,0,0.096774194,0,0,0.024193548,0.048387097,0,0.072580645,0,0,0,0,0,0,0,0,0,0.012096774,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,26,0.5,0,0,0,0,0.076612903,0,0.036290323,0,0.108870968,0,0.096774194,0,0,0.024193548,0.048387097,0,0.072580645,0,0,0,0,0,0,0,0,0,0.012096774,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,27,0,0,0.254032258,0.266129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,28,0.5,0,0,0,0,0.076612903,0.185483871,0.036290323,0,0,0,0,0,0,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0.016129032,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,29,0.5,0,0,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0.024193548,0,0,0,0.108870968,0,0,0,0,0,0,0.080645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,30,0.5,0,0,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0.024193548,0,0.14516129,0,0,0,0.112903226,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,31,0,0,0.254032258,0.266129032,0,0,0,0,0,0,0,0.096774194,0,0,0,0,0,0.072580645,0,0,0,0,0,0.137096774,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,32,0,0.427419355,0.254032258,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,33,0,0.427419355,0.254032258,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,34,0,0,0,0,0,0,0,0,0,0,0,0.096774194,0,0.068548387,0,0,0,0.072580645,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0.016129032,0.016129032,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0
