column,Row Order,PICSTON SHOTTLE,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,O-BEE MANFRED JUSTICE,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,DIXIE-LEE AARON -ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,MAUGHLIN STORM,JOCKO BESN,NORRIELAKE CLEITUS LUKE TWIN,SINGING-BROOK N-B MASCOT ET,MARA-THON BW MARSHALL,ELITE GOLD BULLION-IMP-ET,BURLANE TENNYSON,OUT-JOCK CHOICE AMEL,DELLKA JUROR GORDON - TW,OSDEL-ENDEAVOR BOVA CUBBY,KED JUROR ET,SHEN-VAL NV LM FORMATION-ET,A MARK CJ GILBROOK GRAND ET,BRABANT STAR PATRON,Q250 BESNE BUCK,JARDIN,HANOVERHILL STARBUCK,ROTHROCK TRADITION LEADMAN,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),BIS-MAY S-E-L MOUNTAIN ET,JENNY-LOU MRSHL TOYSTORY,GIBBON,CARLIN-M IVANHOE BELL,BIS-MAY TRADITION CLEITUS,LYLEHAVEN AMBITION ET,MJR BLACKSTAR EMORY-ET,EMERALD-ACRES-SA TONIC ET,HOW-EL-ACRES K BELLMAN ET,LEKKER VALIANT ROYALTY,EXRANCO THOR,HANOVER HILL INSPIRATION,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
MAIRE MINT FIRE-UP - NZGFIREUP,35,0,0,0.202372571,0.119047619,0,0,0,0.045237029,0,0,0,0,0,0.088092343,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,36,0,0,0,0,0,0,0,0,0,0,0,0.111904305,0,0.088092343,0,0.138095238,0,0,0,0,0,0,0,0,0.026189105,0,0,0,0.034523733,0,0,0,0.01190461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,37,0,0,0,0.104761905,0.141658819,0.0761856,0,0.041665524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01071421,0.0047616,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,38,0,0,0,0.104761905,0.141658819,0.0761856,0,0.041665524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01071421,0.0047616,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088092343,0,0,0,0,0,0,0,0,0,0,0,0,0.0214272,0,0,0,0,0,0.01071421,0,0,0,0,0,0,0,0,0.005952,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,40,0,0,0,0.104761905,0,0.0761856,0,0.041665524,0,0,0,0,0,0,0,0,0,0.021428419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047616,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,41,0,0,0,0.104761905,0,0.0761856,0,0.041665524,0,0,0,0,0,0,0,0,0,0.021428419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047616,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,42,0,0,0,0.104761905,0,0.0761856,0,0.041665524,0,0,0,0,0,0,0,0,0,0.021428419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047616,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039285638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052379124,0,0,0,0,0,0,0.032141105,0,0,0.009523505,0,0,0,0.005952,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088092343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021428419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021428419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021428419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007142705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
