column,Row Order,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,JOCKO BESN,HA-HO CUBBY MANFRED-ET,Q250 BESNE BUCK,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,BASAR,GIBBON,CARENDA FABULON-ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,SHOREMAR PERFECT STAR (ET),A MARK CJ GILBROOK GRAND ET,ROUMARE,JARDIN,BELT,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,MARA-THON BW MARSHALL,FATAL,JENNY-LOU MRSHL TOYSTORY,BADGER-BLUFF FANNY FREDDIE,REGANCREST ELTON DURHAM,WALKWAY CHIEF MARK,SKALSUMER SUNNY BOY,REGANCREST RBK DIE-HARD,PIROLO GOLDW_ WYMAN,KOLHORNER SUNSHINE,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DE-KA-ACRES MOUNT EARL,DE-SU OBSERVER,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,MOUNTFIELD SSI DCY MOGUL,RAMOS,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,SEAGULL-BAY SUPERSIRE,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
RENGAW PREDESTINE MANSHED - MANSHED,25,0.207446809,0,0,0.207446809,0,0.164893617,0,0,0,0,0,0,0.106382979,0.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,26,0.207446809,0,0,0.207446809,0,0.164893617,0,0,0,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,27,0.414893617,0,0,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,28,0.207446809,0,0,0,0,0.164893617,0,0,0,0,0,0,0.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,29,0.207446809,0,0,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058510638,0,0,0,0.058510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,30,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0.106382979,0.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,31,0.207446809,0,0,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,32,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090425532,0,0.090425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,33,0.207446809,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,34,0.207446809,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,35,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,36,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEEMAR ASTON-ET - 29HO18076,37,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,38,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
