column,Row Order,KAARMONA VALERIAN,CLAYDON PARK FLOWER POWER,ROYALS GREEN ELMO,MASON BOOMER SOONER BERRETTA,JUDDS ADMIRAL,LIGHTWOOD LUCRATIVE,ROCK ELLA PERIMITER,FYN LEMVIG,PANNOO ABE VANAHLEM,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,CAIRNBRAE JACES ELTON,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,AHLEM LEMVIG ABE,RICHIES JACE TBONE A364,ALL LYNNS LOUIE VALENTINO,KONUI GLEN ELMOS BOWIE,ROCKMAPLE BROOK MONTANA,HIGHLAND DUNCAN LESTER,OKURA MANHATTEN-ET SJ3,ABERDEEN VALERIAN SANDOWN-ET,NOWELL SANDBLAST,DARAWAY FLOWERPOWER NAVARA,OKURA LIKA MURMUR S3J,PANNOO BRAX,BHF-SSF PARADE LOUIE,COLNARCO NAVARIAN,ROCK ELLA PARAMOUNT-ET,BW PARADE-ET,ISDK Q IMPULS,MOLLY BROOK BRASS MAJOR,MITCHELLS LIKABULL SJ3,BROADLIN HATMAN,DUNCANS PRINCE MALCOLM,PARKWOOD CASPER,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO VLINE,BEULAH TARANAK BADGER,BUTTERCREST GALVANIZE,Jersey Herd Bull / Unknown Bull,SKE IDE,BROADLIN 2499 VALERIAN,SILVER FALLS QUICK FAME,ROCKY HILL SKY LINE,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,BANCREST LESTER AVERY,SCHULTZ BROOK HALLMARK,SWEET GRASS LESTER GRAYSON
ARALUEN PARK BANDANNA - CSCBANDANNA,22,0.984375,0,0,0.214513417,0.29328775,0,0.26692675,0.208331833,0,0,0.263671833,0,0,0,0,0.145833333,0,0,0.065754583,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO 9082 - COLTRANE,23,0.989583333,0.33886675,0,0.214838917,0.29361325,0,0.268228833,0,0,0.1663375,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEULAH BRAX 4289 - BAYMAX,24,0,0.337890167,0.563149167,0,0,0.774739583,0,0.20735525,0.380208333,0,0,0,0,0,0.09765625,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0
BROADLIN BUZZBOX - BUZZBOX,25,0.98046875,0.337890167,0,0.214513417,0,0,0.265950167,0,0,0.1663375,0,0,0,0,0,0,0.145833333,0,0,0,0,0.171875,0,0,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953
WALLACEDALE MELS VISTA - VISTAWALL,26,1,0,0,0.21549,0.294264333,0,0.270833,0,0,0,0.263671833,0,0,0.124016083,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0.048499833,0,0,0,0,0,0,0,0,0.021157667,0,0,0,0
BROADLIN HASHTAG P - HASHTAG,27,0.98046875,0.338215667,0,0,0,0,0.265950167,0.20768075,0.385416667,0,0,0,0,0,0.098958333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN DOUBLEUP - DOUBLEUP,28,0.989583333,0,0,0.214838917,0.29361325,0,0.268228833,0.20735525,0,0,0,0,0,0,0.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0
BEULAH GALV 4090 - ZORKO,29,0.984375,0,0,0.214513417,0.29328775,0,0.26692675,0,0,0,0,0,0,0,0,0,0.130208333,0,0,0,0,0,0,0,0,0,0.032552083,0,0.030598833,0.0286455,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0
BEULAH S HATMAN 4236 - HUXLEY,30,0,0.33886675,0.56445125,0,0,0,0,0.20735525,0,0.166663,0,0,0.210607583,0,0,0,0,0,0,0,0.238606667,0,0,0.061197917,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.1171875,0,0,0,0,0,0,0,0,0,0,0
KADDY ELTON SANDSTORM - SANDSTORM,31,0,0,0,0,0.29328775,0,0,0.208331833,0,0.167314083,0.263671833,0.479166667,0,0.124016083,0,0,0,0,0.065754583,0.067054333,0.242512917,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELDAN SB FREDO - FREEVODKA,32,0,0.342773,0,0.214513417,0.294264333,0,0,0,0,0.167314083,0,0,0,0.124341583,0,0,0,0,0,0,0,0,0.760416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0
BEULAH TAHBILK - TAHBILK,33,0,0.340168833,0.563149167,0,0,0,0,0.208331833,0.395833333,0.166663,0,0,0,0,0.1015625,0,0,0,0,0.067054333,0,0,0,0.061197917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005859,0,0,0,0,0
ISYCOED JED RC - CSCJED,34,0,0.342773,0.56412575,0.214838917,0,0,0,0,0,0.167314083,0,0,0.210607583,0.124016083,0,0,0,0,0,0.067054333,0,0,0,0.076822917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015624917,0,0
NOWELL SPYRO - SPYRO,35,0,0.33886675,0,0,0,0,0,0.208657333,0.395833333,0.1663375,0.259765583,0,0,0,0.1015625,0.130208333,0,0,0.064778,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005859,0,0,0,0,0
BROOKBORA MARVEL ALLIMO - CRVMALLIMO,36,0,0.33886675,0.563149167,0,0,0,0,0,0,0.1663375,0,0,0,0,0,0,0.130208333,0,0,0,0,0,0,0.061197917,0,0,0.032552083,0,0.030598833,0.0286455,0.260416667,0,0,0,0,0,0,0,0,0,0,0.066731417,0,0,0,0,0,0,0,0
KINGS VIEW VALIN 4697 - VALIN,37,0,0.33886675,0.563149167,0.214513417,0,0,0,0,0,0.166663,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0.061197917,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953
NOWELL SHAQ - SHAQ,38,0,0,0,0,0,0,0,0.20735525,0,0.167314083,0.264973917,0.479166667,0,0.124016083,0,0.130208333,0,0,0.066080083,0,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN SPANNER - SPANNER,39,0,0,0,0.214513417,0,0,0,0,0,0.167314083,0.263671833,0.479166667,0,0.124016083,0,0,0,0,0.065754583,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0,0,0,0,0,0,0,0.015624917,0,0
LOXLEIGH VALENTINO VINCE 5432 - VESTRIT,40,0,0,0,0.214513417,0,0,0,0,0,0.166663,0.259765583,0.463541667,0,0,0,0,0.145833333,0,0.064778,0,0,0,0,0,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953
MERSEYBANK CLAIRVOYANT - CRVVOYANT,41,0,0,0,0.214513417,0,0,0,0,0,0.166663,0.259765583,0.463541667,0,0,0,0,0.145833333,0,0.064778,0,0,0,0,0,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953
KAARMONA VAN BAYLEE - VANBAYLEE,42,0,0.33886675,0,0,0,0,0,0.208331833,0.395833333,0.1663375,0,0,0,0,0.1015625,0,0,0,0,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416583,0,0,0,0.005859,0,0,0,0,0
KADDY ELTON SANDRIFT - CRVSANDRIFT,43,0,0,0,0,0,0,0,0,0,0.167314083,0.263671833,0.479166667,0,0.124016083,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0
GELBEADO PARK TRESBON - CSCTRESBON,44,0,0,0,0,0,0,0,0,0,0.167314083,0.263671833,0.479166667,0,0.124016083,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0
ALL LYNNS IRWIN NEVIN-ET - 14J664,45,0,0,0,0,0,0,0,0.20735525,0,0,0.259765583,0,0,0,0,0.130208333,0.130208333,0,0.064778,0,0,0,0,0,0,0,0.032552083,0,0.030924333,0.0286455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK BAND - HARDROCK,46,0,0,0,0,0,0,0,0.208331833,0,0,0.263671833,0,0,0,0,0.145833333,0,0,0.065754583,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0
BROOKBORA TBONE COSGROVE - COSGROVE,47,0,0,0,0,0,0,0,0.208331833,0,0,0.263671833,0,0,0,0,0.145833333,0,0,0.065754583,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0
CAIRNBRAE BONTINO - BONTINO,48,0,0,0,0.214513417,0,0,0,0,0,0.1663375,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0.010416583,0,0,0,0,0,0,0,0,0.001953
SUNSET CANYON DIVINE - ET - CRDIVINE,49,0,0,0,0.214838917,0,0,0,0,0,0.1663375,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008138,0.001953
SUNSET CANYON DIVIDEND - ET - CRDIVIDEND,50,0,0,0,0.214838917,0,0,0,0,0,0.1663375,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0.036458333,0,0.031575417,0.029622083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008138,0.001953
