column,Row Order,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,ROYALS GREEN ELMO,CLAYDON PARK FLOWER POWER,J_ S_ QUICKSILVER ROYAL,TINOPAI WAIUKU GR,HIGHLAND DUNCAN LESTER,ROCK ELLA PERIMITER,KAARMONA VALERIAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,MOLLY BROOK BRASS MAJOR,SOLDIERBOY BOOMER SOONER OF CJF,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,AHLEM LEMVIG ABE,BW PARADE-ET,ROCK ELLA PARAMOUNT-ET,PANNOO ABE VANAHLEM,OKURA MANHATTEN-ET SJ3,SKE IDE,ISDK Q IMPULS,CAIRNBRAE JACES ELTON,KONUI GLEN ELMOS BOWIE,ROCKY HILL SKY LINE,DARAWAY FLOWERPOWER NAVARA,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,Jersey Herd Bull / Unknown Bull,PARKWOOD CASPER,RICHIES JACE TBONE A364,SKE HEDE,MITCHELLS LIKABULL SJ3,MVF BOLD VENTURE DANIEL,SILVER FALLS QUICK FAME,SWEET GRASS LESTER GRAYSON,ABERDEEN VALERIAN SANDOWN-ET,SUNSET CANYON MAXIMUM,OKURA LIKA MURMUR S3J,BEULAH TARANAK BADGER,PANNOO BRAX,COLNARCO NAVARIAN,BROADLIN HATMAN,PANNOO VLINE
NOWELL SPYRO - SPYRO,28,0,0,0.27753304,0.389867841,0,0.1530837,0,0,0.172907489,0,0,0.081497797,0.079295154,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
LOXLEIGH VALENTINO VINCE 5432 - VESTRIT,29,0,0.360132159,0.555066079,0,0,0,0,0,0,0,0,0.081497797,0.079295154,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0.005506608,0,0,0,0,0,0,0,0
MERSEYBANK CLAIRVOYANT - CRVVOYANT,30,0,0.360132159,0.555066079,0,0,0,0,0,0,0,0,0.081497797,0.079295154,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0.005506608,0,0,0,0,0,0,0,0
BEULAH GALV 4090 - ZORKO,31,0.5,0.360132159,0,0,0,0,0,0,0,0.131057269,0.120044053,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN BUZZBOX - BUZZBOX,32,0,0.360132159,0.27753304,0,0,0.1530837,0,0,0,0.131057269,0.120044053,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0.005506608,0.008810573,0,0,0,0,0,0,0
DALBORA BRAX 5097 BROWNLOW - BROWNLOW,33,0,0,0,0.389867841,0.292951542,0.1530837,0,0,0,0,0,0.081497797,0.079295154,0,0,0,0.061674009,0.025330396,0,0,0.023127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0.003303965,0,0,0
SUNSET CANYON DIVIDEND - ET - CRDIVIDEND,34,0,0.720264317,0.27753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0.005506608,0,0,0,0,0,0,0,0
STONYRUN AUS TBONE VICKS 2 - VICKS,35,0,0,0,0.389867841,0,0.1530837,0,0,0.172907489,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
STONYRUN AUS TBONE MINX - MINX,36,0,0,0,0.389867841,0,0.1530837,0,0,0.172907489,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
KADDY ELTON SANDRIFT - CRVSANDRIFT,37,0,0,0.27753304,0,0,0,0.392070485,0,0,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GELBEADO PARK TRESBON - CSCTRESBON,38,0,0,0.27753304,0,0,0,0.392070485,0,0,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKBORA MARVEL ALLIMO - CRVMALLIMO,39,0,0,0.27753304,0,0.292951542,0.1530837,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0.046255507,0.044052863,0,0,0,0.017621145,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA VAN BAYLEE - VANBAYLEE,40,0,0,0.27753304,0.194933921,0,0.1530837,0,0,0.172907489,0,0,0,0,0,0,0,0,0.025330396,0,0,0.023127753,0,0,0,0,0,0.018722467,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNSET CANYON MUSKET - CRVCANMUSKET,41,0,0.360132159,0.27753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0.046255507,0.044052863,0,0,0,0,0,0,0.028634361,0.02753304,0.009911894,0.009911894,0,0,0,0,0,0,0,0.005506608,0,0,0,0,0,0,0,0
BEULAH BRAX 4289 - BAYMAX,42,0,0,0,0.194933921,0.292951542,0.1530837,0,0,0,0,0,0,0,0,0,0,0.061674009,0.025330396,0,0,0.023127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0.003303965,0,0,0
CAIRNBRAE BONTINO - BONTINO,43,0,0.360132159,0.27753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0.017621145,0,0,0,0,0,0,0.005506608,0,0,0,0,0,0,0,0
SUNSET CANYON DIMENSION - 7J1149,44,0,0,0,0.194933921,0,0,0,0,0.172907489,0,0,0,0,0,0.146475771,0,0,0,0,0,0,0,0.046255507,0.044052863,0,0,0,0,0,0,0.028634361,0.02753304,0,0,0,0,0,0,0,0,0,0,0,0.014317181,0,0,0,0,0,0
ARALUEN PARK BAND - HARDROCK,45,0,0,0,0.194933921,0,0,0,0,0.172907489,0,0,0.081497797,0.079295154,0.053964758,0,0.046255507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
VJ LURE - VIKLURE,46,0,0,0,0.194933921,0,0,0,0,0.172907489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046255507,0.044052863,0,0,0,0,0.06277533,0,0.028634361,0.02753304,0,0,0,0,0,0.061674009,0,0,0,0,0,0,0,0,0,0,0,0
BUTTERCREST GAMEPLAN - 0200JE00506,47,0,0,0,0.194933921,0,0,0,0,0.172907489,0,0,0,0,0,0.146475771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02092511,0,0,0,0.014317181,0,0,0,0,0,0
GOLDEN GDK VIVALDI - 0200JE07756,48,0,0,0,0.194933921,0,0,0,0,0.172907489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046255507,0.044052863,0,0,0,0,0,0,0.028634361,0.02753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKBORA ALDRIN - 0200JE08182,49,0,0,0,0.194933921,0,0,0,0,0,0,0,0.081497797,0.079295154,0,0,0,0,0,0.036343612,0.059471366,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTTERCREST GAMEDAY - 0200JE00230,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0.029735683,0,0,0.046255507,0.044052863,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0.02092511,0,0,0,0,0,0,0,0,0,0
