column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,BRAEDALE GOLDWYN,SHOREMAR JAMES,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,GIBBON,JOCKO BESN,MANNA FARM DEL SANTO,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,ROUMARE,ADLEJAMA DELSANTO PICOLA,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,EMPRISE BELL ELTON,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,BELT,EMERALD-ACRES-SA TONIC ET,TO-MAR BLACKSTAR ET,REGANCREST ELTON DURHAM,ELITE GOLD BULLION-IMP-ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,FUSTEAD EMORY BLITZ,RALMA GOLD CROWN,ROYLANE SOCRA ROBUST,STARTMORE RUDOLPH,VELVET-VIEW-KJ SOCRATES,ETAZON ADDISON,PIROLO GOLDW_ WYMAN,BUSHLEA PERFECTOR BOLD-ET,GLENN-ANN PALERMO,VEAZLAND MARION,SEAGULL-BAY SUPERSIRE,KAARMONA ATLEY,MAPLE-DOWNS-I G W ATWOOD,AMIGHETTI NUMERO UNO,GRAN-J OMAN MCCORMICK,SCHILLVIEW OMAN GERARD
RENGAW PREDESTINE MANSHED - MANSHED,24,0.5,0.275362319,0.275362319,0.398550725,0,0.355072464,0.355072464,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,25,1,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0,0,0,0,0,0,0,0,0.079710145,0,0,0,0,0,0,0,0.028985507,0,0.02173913,0,0.02173913,0,0,0,0,0,0.014492754,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,26,0.5,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0,0.15942029,0,0.065217391,0,0,0.065217391,0.130434783,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,27,0.5,0.550724638,0.550724638,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,28,0,0.275362319,0.275362319,0,0.543478261,0.355072464,0.355072464,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,29,0.5,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0.065217391,0,0,0.065217391,0.086956522,0,0.065217391,0,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY SS NARDOO - NARDOO,30,0.5,0.550724638,0.550724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0.028985507,0,0.02173913,0,0.02173913,0,0,0,0,0,0.014492754,0,0,0,0,0
DELTA CUPIDO - CRVCUPIDO,31,0,0,0,0,0,0.355072464,0.355072464,0,0,0,0,0.52173913,0,0.282608696,0,0,0,0,0.065217391,0,0,0,0.086956522,0.137681159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,32,0.5,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0.065217391,0,0,0,0.086956522,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0
MR AMERICA CHACAL - 29HO17762,33,0.5,0.275362319,0.275362319,0,0,0.355072464,0.355072464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,34,0,0.275362319,0.275362319,0,0,0.355072464,0.355072464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0,0,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0.108695652,0,0,0,0.079710145,0,0.036231884,0.036231884,0,0,0
BOUW ROCKY - CRVBOUWROCKY,35,0.5,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0.086956522,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
