column,Row Order,O-BEE MANFRED JUSTICE,ADLEJAMA DELSANTO PICOLA,BRAEDALE GOLDWYN,MANNA FARM DEL SANTO,ENSENADA TABOO PLANET ET,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,JOCKO BESN,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,ROUMARE,BASAR,JARDIN,RALMA GOLD CROWN,MAUGHLIN STORM,SEAGULL-BAY SUPERSIRE,PICSTON SHOTTLE,BUSHLEA PERFECTOR BOLD-ET,PIROLO GOLDW_ WYMAN,GIBBON,GLENN-ANN PALERMO,Q250 BESNE BUCK,AMIGHETTI NUMERO UNO,KAARMONA ATLEY,ROYLANE SOCRA ROBUST,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,CAROL PRELUDE MTOTO ET,ELITE GOLD BULLION-IMP-ET,EMPRISE BELL ELTON,OUT-JOCK CHOICE AMEL,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,MAPLE-DOWNS-I G W ATWOOD,SCHILLVIEW OMAN GERARD,EMERALD-ACRES-SA TONIC ET,VELVET-VIEW-KJ SOCRATES,GRAN-J OMAN MCCORMICK,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,VEAZLAND MARION,STARTMORE RUDOLPH,BELT,AG-HIGH SIGHTS BS INGOT-ET,ETAZON ADDISON,FUSTEAD EMORY BLITZ,TO-MAR BLACKSTAR ET
CARENDA VIZABULL 375 - VIZABULL,10,0.443575556,0.944444444,0,0.819444444,0.270833333,0.552083333,0.279512222,0,0,0,0.067706667,0.108504889,0,0.138018444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022568222,0,0,0,0.019096222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,11,0,1,0,0.861111111,0.28125,0.5625,0.282116444,0,0,0,0.070310889,0,0,0.140622667,0,0,0,0,0,0,0,0.094614889,0,0,0,0,0,0,0,0,0,0,0.011284222,0.058157111,0.011284222,0,0,0,0,0,0,0,0,0,0,0.026040222,0,0,0,0
MANNA FARM DELANO - DELANO,12,0,0,0,0.861111111,0,0.5625,0.282116444,0,0,0.292532889,0,0,0.401909111,0.140622667,0,0,0,0,0,0,0,0.095482889,0,0.065970667,0,0,0,0,0,0,0,0,0,0.058157111,0,0,0,0,0,0,0,0,0,0,0,0.026040222,0,0,0,0
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,13,0.433158889,0,0.506944444,0,0,0,0,0,0.126735111,0.292532889,0,0.105900667,0.401909111,0,0,0,0.096350889,0,0,0,0,0.094614889,0,0.065970667,0,0,0,0.027776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FOLKLAW 339 - FOLKLAW,14,0,0,0.506944444,0,0,0,0.282116444,0,0.126735111,0.292532889,0,0,0.401909111,0,0,0,0.096350889,0,0,0.236111111,0,0.095482889,0,0.065970667,0,0,0,0.027776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,15,0.436631111,0,0.506944444,0,0,0,0,0.34375,0.126735111,0,0,0.106768667,0,0,0,0.444444444,0.096350889,0,0,0,0,0,0,0,0,0,0,0.027776,0.020832889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,16,0.433158889,0,0,0,0,0,0,0.34375,0,0.292532889,0,0.105900667,0.401909111,0,0,0,0,0,0.045138889,0,0,0.094614889,0,0.065970667,0.111111111,0,0,0,0.020832889,0.019096667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,17,0.430554667,0,0.506944444,0,0.270833333,0,0,0,0.126735111,0,0.067706667,0,0,0,0,0,0.096350889,0.166666667,0,0,0,0,0,0,0,0,0.055555556,0.027776,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0.00434,0
DILEE BUDDHA OLLIE 751 - OTTMAR,18,0,0,0.506944444,0,0.28125,0,0.282116444,0,0.126735111,0,0.070310889,0,0,0,0,0,0.096350889,0,0,0.236111111,0,0.094614889,0,0,0,0,0,0.027776,0,0,0,0,0.011284222,0,0.011284222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,19,0.433158889,0,0.506944444,0,0,0,0,0,0.126735111,0,0,0.105900667,0,0,0,0.444444444,0.096350889,0,0,0,0,0,0,0,0,0,0,0.027776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
