column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,SHOREMAR JAMES,JOCKO BESN,BASAR,CARENDA FABULON-ET,COYNE-FARMS DORCY,ELITE GOLD BULLION-IMP-ET,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,LUNCREST MILLARD,ROUMARE,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,GRAN-J OMAN MCCORMICK,SANDY-VALLEY BOLTON,GIBBON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,AG-HIGH SIGHTS BS INGOT-ET,TO-MAR BLACKSTAR ET,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,OSDEL-ENDEAVOR BOVA CUBBY,SHOREMAR PERFECT STAR (ET),CHARLESDALE SUPERSTITION,ETAZON ADDISON,REGANCREST ALTAIOTA,OUT-JOCK CHOICE AMEL,STRATHAIRE SOUTHWIND LUKE-ET,END-ROAD PVF BOLIVER,HOW-EL-ACRES K BELLMAN ET,BELT,FATAL,END-ROAD BLACKSTAR MAJIC-ET,SCHILLVIEW OMAN GERARD,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,BARBEE-M JUROR ITO
DE-SU 12659 TACTIC - 29HO17919,11,0.992395436,0.286596902,0,0,0,0.046102637,0,0,0,0,0,0,0,0,0.12357416,0,0.032319396,0,0,0,0,0,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,12,0.992395436,0.294201465,0,0,0,0.047528523,0.076995051,0,0,0,0,0,0,0,0,0,0.032319396,0.011881857,0,0,0.063209255,0,0,0,0,0,0,0,0,0,0,0,0.014732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,13,0,0.288498043,0,0,0,0,0.075569165,0.804182607,0.257128913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022813691,0,0.060836509,0.003802038,0,0.008555073,0,0,0,0,0,0,0,0,0,0.003802038
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,14,0.993821322,0,0,0.131178723,0.248573718,0.047528523,0,0,0,0,0.048003656,0,0,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,15,0.992395436,0.286596902,0,0.129752837,0,0.047528523,0,0,0,0,0,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017110268,0,0,0,0,0.007129187,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,16,0,0.286596902,0,0,0,0.047528523,0,0.804182607,0.257128913,0,0,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,17,0,0.288022788,0.244771802,0,0,0.047528523,0.075569165,0,0,0,0,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0.096007555,0.288973419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,18,0.992395436,0,0,0,0,0.054182455,0,0,0,0,0,0,0,0,0,0,0,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,19,0.992395436,0,0,0,0,0.046102637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,20,0,0.293726211,0,0.159695837,0,0,0.076995051,0,0,0.116443391,0.055132965,0,0,0,0,0,0,0,0,0,0.063209255,0.092201137,0,0,0,0,0,0,0,0,0.013307256,0,0.014732899,0,0,0,0,0,0,0,0,0,0,0,0,0.010930861,0,0,0,0
