column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,ELITE GOLD BULLION-IMP-ET,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,HILL VALLEY BASAR ACME,JOCKO BESN,ELITE MOUNTAIN DONOR IMP (E_T),AG-HIGH SIGHTS BS INGOT-ET,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,ROSE-BAUM TABOO,GIBBON,KED JUROR ET,CARENDA FABULON-ET,MAIZEFIELD BELLWOOD - (E_T_),HANOVERHILL STARBUCK,BUSHLEA WAVES FABULON,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,BASAR,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,A MARK CJ GILBROOK GRAND ET,DELLKA JUROR GORDON - TW,OUT-JOCK CHOICE AMEL,HOW-EL-ACRES K BELLMAN ET,NORRIELAKE CLEITUS LUKE TWIN,BRABANT STAR PATRON,END-ROAD BLACKSTAR MAJIC-ET,BELT,LEKKER VALIANT ROYALTY,ROTHROCK TRADITION LEADMAN,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
ADLEJAMA DELSANTO PICOLA - PICOLA,41,0,0,0,0,0,0,0,0,0,0.05206881,0,0,0,0,0.245002257,0,0,0,0,0,0.013016964,0.023244231,0,0.037192007,0,0,0,0,0,0.060901584,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0.013946229,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,42,0,0.309623399,0,0.080891485,0,0,0,0.063222842,0,0,0,0,0,0,0,0,0,0,0,0.01580571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006043433,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,43,0,0,0,0,0.090186511,0,0,0,0.15620643,0,0,0,0.113899064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013016488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,44,0,0,0,0,0,0,0,0,0,0.10413762,0,0,0,0,0,0,0,0,0,0,0.04091097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010692494,0,0,0,0.009297883,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,45,0,0,0,0,0,0,0,0,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,46,0,0,0,0,0,0,0,0,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053461398,0,0,0,0,0,0,0,0,0,0,0.009297764,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
