column,Row Order,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,JOCKO BESN,HANOVERHILL STARBUCK,GIBBON,MARA-THON BW MARSHALL,BIS-MAY TRADITION CLEITUS,Q250 BESNE BUCK,ELITE GOLD BULLION-IMP-ET,MAIZEFIELD BELLWOOD - (E_T_),AG-HIGH SIGHTS BS INGOT-ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,KED JUROR ET,BIS-MAY S-E-L MOUNTAIN ET,OUT-JOCK CHOICE AMEL,ROUMARE,HOW-EL-ACRES K BELLMAN ET,HILL VALLEY BASAR ACME,ELITE MOUNTAIN DONOR IMP (E_T),BASAR,DIXIE-LEE AARON -ET,END-ROAD BLACKSTAR MAJIC-ET,NORRIELAKE CLEITUS LUKE TWIN,JENNY-LOU MRSHL TOYSTORY,BELT,CARENDA FABULON-ET,BRABANT STAR PATRON,ETAZON KNOCK OUT,LONG-LANGS OMAN OMAN,ROTHROCK TRADITION LEADMAN,LEKKER VALIANT ROYALTY,DELLKA JUROR GORDON - TW,BUSHLEA WAVES FABULON,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
PETHERTON DENSITY - 0200HO02700,26,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,27,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,28,0,0,0,0,0,0,0,0,0,0.213333333,0,0.206666667,0,0,0.13,0.256666667,0,0.21,0,0,0,0,0,0,0,0.063333333,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,29,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0.213333333,0,0.103333333,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0.063333333,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,30,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0.213333333,0,0.103333333,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0.063333333,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,31,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,32,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,33,0,0,0.326666667,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,34,0,0,0,0.36,0.226666667,0.206666667,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0.026666667,0.013333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,35,0.5,0,0.326666667,0,0.226666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
