column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,GIBBON,JOCKO BESN,CARENDA FABULON-ET,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,BRAEDALE GOLDWYN,MAUGHLIN STORM,MADAWASKA AEROSTAR,PICSTON SHOTTLE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),ELITE GOLD BULLION-IMP-ET,A MARK CJ GILBROOK GRAND ET,BIS-MAY TRADITION CLEITUS,HILL VALLEY BASAR ACME,BIS-MAY S-E-L MOUNTAIN ET,BASAR,A RONNYBROOK PRELUDE ET,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,DIXIE-LEE AARON -ET,LONG-LANGS OMAN OMAN,HANOVERHILL STARBUCK,ETAZON KNOCK OUT,BUSHLEA WAVES FABULON,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,MANNA FARM DEL SANTO,LYLEHAVEN AMBITION ET,JARDIN,BUSHLEA PERFECTOR BOLD-ET,HINDLEE MOM  R DALLAS 11910,RENGAW MANOMAN WRANGLER-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
DE-SU DISTINCTION 11130 - 7HO11775,25,0.226923077,0.207692308,0,0,0,0,0.119230769,0,0,0,0.098076923,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0,0.032692308,0.032692308,0.053846154,0.053846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,27,0.226923077,0.207692308,0,0,0,0,0.119230769,0,0,0.142307692,0.098076923,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,28,0,0,0,0,0,0,0.119230769,0,0,0.071153846,0.098076923,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,29,0,0,0,0,0,0,0.119230769,0,0,0.071153846,0.098076923,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,30,0.226923077,0.207692308,0,0,0,0.113461538,0,0,0,0,0,0.078846154,0.078846154,0,0.05,0,0,0,0,0,0,0,0,0,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,31,0.226923077,0.207692308,0,0,0,0.113461538,0,0,0,0.071153846,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,32,0,0,0,0,0,0,0.238461538,0,0,0.071153846,0.196153846,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,33,0,0,0,0,0,0,0.119230769,0,0,0.071153846,0.098076923,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,34,0.226923077,0.207692308,0,0,0,0.226923077,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
