column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,BUSHLEA WAVES FABULON,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,JOCKO BESN,GIBBON,ROUMARE,HILL VALLEY BASAR ACME,ELITE MOUNTAIN DONOR IMP (E_T),CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,BUSHLEA PERFECTOR BOLD-ET,MAUGHLIN STORM,EMPRISE BELL ELTON,MANNA FARM DEL SANTO,ELITE GOLD BULLION-IMP-ET,Q250 BESNE BUCK,HINDLEE MOM  R DALLAS 11910,MADAWASKA AEROSTAR,BASAR,RENGAW MANOMAN WRANGLER-ET,OSDEL-ENDEAVOR BOVA CUBBY,ETAZON KNOCK OUT,BIS-MAY S-E-L MOUNTAIN ET,A MARK CJ GILBROOK GRAND ET,JARDIN,A RONNYBROOK PRELUDE ET,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,HANOVERHILL STARBUCK,AG-HIGH SIGHTS BS INGOT-ET,BELT,LEKKER VALIANT ROYALTY,ROTHROCK TRADITION LEADMAN,LYLEHAVEN AMBITION ET,MJR BLACKSTAR EMORY-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
SHEEKNOLL ALTAVITTEK - 011HO10909,41,0,0,0,0.180602007,0,0,0,0,0,0,0,0,0,0.040132388,0.04514986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007106676,0.008778809,0.008778809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,42,0,0,0,0.160535117,0,0,0,0.128344294,0,0,0,0,0,0.038878181,0.040133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,43,0,0,0,0,0,0,0,0.153427906,0,0,0,0,0,0.04514911,0,0,0,0,0,0,0,0,0.017139478,0,0,0,0,0,0,0,0.008360883,0,0,0,0,0.011704936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,45,0,0,0,0.160535117,0,0,0,0,0,0,0,0,0,0,0.040133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,46,0,0,0,0.160535117,0,0,0,0,0,0,0,0,0,0,0.040133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04514911,0,0,0,0,0,0,0,0,0.015885271,0,0,0,0,0,0,0,0.008360883,0,0,0,0,0.011286903,0,0,0,0.007942635,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045147719,0,0,0,0,0.010869084,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
