column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,GIBBON,HANOVERHILL STARBUCK,BRAEDALE GOLDWYN,SHOREMAR JAMES,JOCKO BESN,Q250 BESNE BUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OUT-JOCK CHOICE AMEL,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,END-ROAD BLACKSTAR MAJIC-ET,BASAR,NORRIELAKE CLEITUS LUKE TWIN,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,BIS-MAY TRADITION CLEITUS,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,MARA-THON BW MARSHALL,EMERALD-ACRES-SA TONIC ET,LEKKER VALIANT ROYALTY,KED JUROR ET,BUSHLEA WAVES FABULON,JARDIN,LANCELOT,MASCOL,BUSHLEA PERFECTOR BOLD-ET,MANNA FARM DEL SANTO,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
LADYS-MANOR PL SHAMROCK - 7HO10849,25,0,0,0.436781609,0.402298851,0,0.25862069,0.385057471,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,26,0.563218391,0.477011494,0.436781609,0,0.310344828,0,0,0.149425287,0,0,0.270114943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,27,0,0,0,0,0,0,0,0,0,0.224137931,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0.252873563,0,0,0,0.057471264,0.390804598,0,0,0.379310345,0,0,0.275862069,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,28,0.563218391,0.477011494,0,0.402298851,0,0,0.385057471,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,29,0,0,0.873563218,0,0,0,0,0,0.494252874,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0.183908046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,30,0,0,0.436781609,0.402298851,0,0.25862069,0,0,0,0,0.270114943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120689655,0,0,0,0,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,31,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,32,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0.114942529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,33,0.563218391,0.477011494,0,0,0.620689655,0,0,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114942529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,34,0.563218391,0.477011494,0.436781609,0,0,0.25862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,35,0.563218391,0.477011494,0.436781609,0,0,0.25862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,36,0.563218391,0.477011494,0,0,0,0.25862069,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,37,0.563218391,0.477011494,0,0,0,0.25862069,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,38,0.563218391,0.477011494,0,0,0,0.25862069,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
