column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,ROSE-BAUM TABOO,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,GIBBON,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,OUT-JOCK CHOICE AMEL,SANDY-VALLEY BOLTON,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,STARTMORE RUDOLPH,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,ADLEJAMA DELSANTO PICOLA,MANNA FARM DEL SANTO,ETAZON KNOCK OUT,WALKWAY CHIEF MARK,JARDIN,BUNDALONG MARKS MEDALLION,FATAL,ROUMARE,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,RAMOS
LARCREST CALUMET-ET - 29HO18101,41,0,0.341836735,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,42,0,0.341836735,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,43,0,0.341836735,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,44,0,0.341836735,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,45,0,0.341836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0,0,0.081632653,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076530612,0,0.051020408,0,0,0.06122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,47,0,0,0,0.081632653,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076530612,0,0.051020408,0,0,0.06122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0.081632653,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,49,0,0,0,0.081632653,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,50,0,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
