column,Row Order,J_ S_ QUICKSILVER ROYAL,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),ROYALS GREEN ELMO,FYN LEMVIG,SOLDIERBOY BOOMER SOONER OF CJF,HIGHLAND DUNCAN LESTER,ROCK ELLA PERIMITER,CLAYDON PARK FLOWER POWER,KAARMONA VALERIAN,LAWMUIR ELTON,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,OKURA MANHATTEN-ET SJ3,PARKWOOD CASPER,MOLLY BROOK BRASS MAJOR,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,SKE HEDE,SKE IDE,BW PARADE-ET,ISDK Q IMPULS,ROCK ELLA PARAMOUNT-ET,DARAWAY FLOWERPOWER NAVARA,KONUI GLEN ELMOS BOWIE,S_S_ QUICKSILVER OF FALLNEVA,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,VAN DER FITS FJORD GR,CAIRNBRAE JACES ELTON,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,AHLEM LEMVIG ABE,LIGHTWOOD LEDA,WILLIAMS MINSTREL,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,RICHIES JACE TBONE A364,OKURA LIKA MURMUR S3J,PANNOO ABE VANAHLEM,WHITE STAR GREG,ABERDEEN VALERIAN SANDOWN-ET
BROADLIN VELCRO ET - VELCRO,24,0.392070485,0.5,0.360132159,0,0.27753304,0,0,0,0,0.131057269,0,0.120044053,0,0,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL-MART NAVARA BLADE - 29JE3678,25,0.392070485,0,0.360132159,0.3469163,0.27753304,0.292951542,0,0,0,0,0.1530837,0,0,0,0,0,0,0,0,0,0,0,0.046255507,0,0.044052863,0,0.017621145,0,0,0.028634361,0.02753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL LYNNS LOUIE VALENTINO - 7J1038,26,0.392070485,0,0.720264317,0,0.27753304,0,0,0.146475771,0.172907489,0,0,0,0,0.06277533,0,0,0,0,0,0,0,0,0,0.036343612,0,0.029735683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0
LIGHTWOOD LUCRATIVE - LARFALOT,27,0.392070485,0,0.360132159,0.3469163,0,0.292951542,0,0.146475771,0,0,0,0,0.11784141,0,0,0,0,0,0,0,0.061674009,0,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA VALERIAN - VALERIAN,28,0.392070485,0.5,0.360132159,0,0,0,0,0.146475771,0,0.131057269,0,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANNOO ABE VANAHLEM - VANAHLEM,29,0.392070485,0,0.360132159,0,0.27753304,0,0.194933921,0,0.172907489,0,0.1530837,0,0,0.06277533,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025330396,0,0,0,0,0,0,0,0,0,0,0,0.023127753,0,0
BROADLIN 2420 SPIRITUAL - BROADSIDE,30,0,0.5,0.360132159,0,0,0,0.194933921,0.146475771,0.345814978,0,0,0,0,0.06277533,0,0,0.082599119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAYWARDS TGM AIM S3J - NZGHAYWARDS,31,0,0.5,0,0.3469163,0,0,0.194933921,0,0.172907489,0,0,0,0.11784141,0,0,0,0.082599119,0.093612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02753304,0.025330396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUKEROA TGM MANZELLO - CRVMANZELLO,32,0,0.5,0,0.3469163,0,0,0.194933921,0,0.172907489,0,0,0,0.11784141,0,0,0,0.082599119,0.093612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02753304,0.025330396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENHAVEN TGM GENIUS S3J - NZGGLENGENI,33,0.392070485,0.5,0,0.3469163,0,0,0,0,0,0,0,0,0.11784141,0,0,0,0,0.093612335,0,0,0,0,0,0,0,0,0,0,0.007709251,0,0,0,0,0.02753304,0.025330396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
