column,Row Order,KAARMONA VALERIAN,ROYALS GREEN ELMO,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,LIGHTWOOD LUCRATIVE,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,FYN LEMVIG,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,OKURA MANHATTEN-ET SJ3,CAIRNBRAE JACES ELTON,HIGHLAND DUNCAN LESTER,SOLDIERBOY BOOMER SOONER OF CJF,ISDK Q IMPULS,KONUI GLEN ELMOS BOWIE,PARKWOOD CASPER,TAWA GROVE MAUNGA ET S3J,ROCKMAPLE BROOK MONTANA,ALL LYNNS LOUIE VALENTINO,DARAWAY FLOWERPOWER NAVARA,RICHIES JACE TBONE A364,LAWMUIR ELTON,OKURA LIKA MURMUR S3J,NOWELL TARSAN,HIGHLAND MAGIC DUNCAN,NOAKES NEVVY SJ2,PANNOO ABE VANAHLEM,WHITE STAR GREG,WILLIAMS MINSTREL,SKE IDE,AHLEM LEMVIG ABE,MITCHELLS LIKABULL SJ3,ABERDEEN VALERIAN SANDOWN-ET,VAN DER FITS FJORD GR,MOLLY BROOK BRASS MAJOR,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,BW PARADE-ET,LIGHTWOOD LEDA,DUNCANS PRINCE MALCOLM,WILLIAMS ROBS NORMAN,SKE HEDE,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,BAYLEA PENNYS CARLOS SJ3,SILVER FALLS QUICK FAME,S_S_ QUICKSILVER OF FALLNEVA
NOWELL TARSAN - TAILBOARD,24,0,0.564421251,0.291019323,0,0,0.208008533,0.123390277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035574728,0,0.480769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002884431
RIVERSIDE AMBITION - CSCAMBITION,25,0,0.545190482,0,0.213136328,0,0.203200821,0.121146667,0,0.336217518,0,0.163778544,0,0,0,0,0.047753764,0,0,0,0,0,0,0.075641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MARVARIE ET - CRVMARVARIE,26,0,0.545190482,0,0.208328615,0,0.203200821,0.121467159,0,0.336217518,0,0.165060595,0,0,0,0,0,0,0,0,0,0,0,0.075641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033012513,0,0,0,0,0,0,0,0,0
KONUI GLEN ELMOS BOWIE - AMBKONUI,27,0,0.564421251,0.291019323,0,0,0.208008533,0.123390277,0,0,0,0,0,0,0,0,0,0,0.456410256,0,0,0,0,0,0,0.035574728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002884431
PANNOO ABE VANAHLEM - VANAHLEM,28,0,0,0,0.208008123,0,0,0.121146667,0.208972882,0.336217518,0,0.163778544,0,0,0,0.066984287,0,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0.41025641,0,0,0,0.115384615,0,0,0,0,0,0,0,0,0,0,0.009294277,0,0,0,0,0
OKURA LIKA MURMUR S3J - BOSMURMUR,29,0,0,0.287173169,0,0,0.204162379,0.122428718,0,0,0,0,0,0,0,0,0,0,0,0.142948349,0,0,0,0,0,0.034933662,0.482051282,0,0,0,0,0,0,0,0,0.206730749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051602462,0.002563938
PUKEROA TGM MANZELLO - CRVMANZELLO,30,0,0,0.28621161,0,0,0.204162379,0,0.205126728,0,0,0,0,0.238781949,0,0.066022728,0,0,0,0.142948349,0.279487179,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017307405,0,0
HAYWARDS TGM AIM S3J - NZGHAYWARDS,31,0,0,0.28621161,0,0,0.204162379,0,0.205126728,0,0,0,0,0.238781949,0,0.066022728,0,0,0,0.142948349,0.279487179,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017307405,0,0
CANAAN NEVVY PIONEER - CRVCANAAN,32,0,0,0.28621161,0,0,0.203200821,0,0.205126728,0,0,0,0,0.238781949,0,0.066022728,0,0,0,0.139102195,0,0,0,0,0,0,0,0,0,0.219230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054807631,0,0,0,0,0,0
CAIRNBRAE JACES ELTON - ELTON,33,0,0,0,0,0,0,0.122108226,0,0,0,0.167624697,0.274999959,0,0.492307692,0,0.046792205,0,0,0,0,0.068589128,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0.018909292,0,0,0,0,0.014742728,0,0,0,0,0,0,0.002563938
