column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,BASAR,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,GIBBON,CAROL PRELUDE MTOTO ET,STARTMORE RUDOLPH,ROSE-BAUM TABOO,FATAL,ROUMARE,FUSTEAD EMORY BLITZ,ETAZON KNOCK OUT,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,GLENN-ANN PALERMO,BUNDALONG MARKS MEDALLION,OUT-JOCK CHOICE AMEL,WALKWAY CHIEF MARK,LONG-LANGS OMAN OMAN,END-ROAD BLACKSTAR MAJIC-ET,REGANCREST ALTAIOTA,DIXIE-LEE AARON -ET,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,JARDIN,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
DG VEKIS BOSS - AIBLOOPER,25,0.286713287,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0.076923077,0,0.013986014,0,0,0,0,0,0,0,0.062937063,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,26,0.286713287,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.027972028,0,0,0,0.027972028,0,0,0.066433566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,27,0.286713287,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,28,0.286713287,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,29,0.286713287,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,30,0.286713287,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031468531,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,31,0.286713287,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,32,0.286713287,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,33,0.286713287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,34,0.286713287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
