column,Row Order,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,PICSTON SHOTTLE,SHOREMAR JAMES,JOCKO BESN,BASAR,MAUGHLIN STORM,GLENN-ANN PALERMO,ENSENADA TABOO PLANET ET,BUNDALONG MARKS MEDALLION,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,ROUMARE,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,REGANCREST ALTAIOTA,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,STARTMORE RUDOLPH,GIBBON,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,FUSTEAD EMORY BLITZ,FATAL,ETAZON KNOCK OUT,END-ROAD PVF BOLIVER,EMPRISE BELL ELTON,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,OUT-JOCK CHOICE AMEL,OSDEL-ENDEAVOR BOVA CUBBY,JARDIN,UFM-DUBS ALTAESQUIRE,WALKWAY CHIEF MARK,END-ROAD BLACKSTAR MAJIC-ET,DIXIE-LEE AARON -ET,EMERALD-ACRES-SA TONIC ET,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
SANDY-VALLEY FIVESTAR-ET - 29HO18233,38,0,0,0,0.164186413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0.008432508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,39,0,0,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,40,0,0,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,41,0,0,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,42,0,0,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,43,0,0,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,44,0,0,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,45,0,0,0,0.163690413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008432508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0.06597181,0,0,0.006944381,0,0,0,0,0,0,0,0.003472127,0,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,47,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0.06597181,0,0,0.006944381,0,0,0,0,0,0,0,0.003472127,0,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0,0,0,0,0.021825397,0,0,0,0,0,0,0,0,0,0,0,0,0.005456254,0,0,0,0.008432508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,49,0,0,0,0,0,0,0,0,0,0.021825397,0,0,0,0,0,0,0,0,0,0,0,0,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,50,0,0,0,0,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
