column,Row Order,O-BEE MANFRED JUSTICE,LONG-LANGS OMAN OMAN,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,ROUMARE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,ROSE-BAUM TABOO,JARDIN,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,SHOREMAR JAMES,ELITE GOLD BULLION-IMP-ET,DIXIE-LEE AARON -ET,Q250 BESNE BUCK,HILL VALLEY BASAR ACME,EMPRISE BELL ELTON,BASAR,SHOREMAR PERFECT STAR (ET),ROYLANE SOCRA ROBUST,OUT-JOCK CHOICE AMEL,END-ROAD PVF BOLIVER,BADGER-BLUFF FANNY FREDDIE,TO-MAR BLACKSTAR ET,CHARLESDALE SUPERSTITION,STARTMORE RUDOLPH,GIBBON,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,AG-HIGH SIGHTS BS INGOT-ET,REGANCREST ELTON DURHAM,CARENDA FABULON-ET,OSDEL-ENDEAVOR BOVA CUBBY,END-ROAD BLACKSTAR MAJIC-ET,JENNY-LOU MRSHL TOYSTORY,REGANCREST ALTAIOTA,ETAZON ADDISON,DE-SU OBSERVER,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,VELVET-VIEW-KJ SOCRATES,SANDY-VALLEY BOLTON,FUSTEAD EMORY BLITZ,HOW-EL-ACRES K BELLMAN ET,BARBEE-M JUROR ITO,FATAL,BELT,NORRIELAKE CLEITUS LUKE TWIN
RENGAW CAPGAIN JELLY-ET - JELLY,39,0,0,0.293032656,0.491803016,0,0,0,0,0.072744656,0,0,0,0,0,0,0,0,0,0,0,0,0.033810098,0,0,0,0,0,0,0,0,0,0,0,0,0.01331882,0,0,0,0.036885246,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,40,0.622948459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082991738,0.102459016,0,0.086065574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,41,0,0,0.290983607,0,0.211064918,0,0,0,0.072744656,0,0.147536262,0,0.050203016,0,0,0,0,0,0,0,0,0.033810098,0,0,0,0,0,0.034833836,0.025613902,0,0,0,0.013319607,0,0.01331882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,42,0,0,0.278688525,0,0.211064918,0,0,0,0.06967082,0,0.147536262,0,0.050203016,0,0,0,0.054302689,0,0.035859934,0,0,0,0,0,0,0,0,0,0.025613902,0,0,0,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,43,0,0,0.290983607,0,0.198769836,0,0,0,0.072744656,0,0,0,0.04712918,0,0,0,0,0,0,0,0,0.033810098,0,0,0,0,0,0,0,0,0,0.054303213,0,0,0.01331882,0,0,0.131143869,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,44,0,0,0.275614689,0.491803016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053278689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013319607,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,45,0,0,0.278688525,0,0.198769836,0,0,0,0.06967082,0,0,0,0.04712918,0,0,0,0.054302689,0,0.035859934,0,0,0,0,0,0,0,0.084015213,0,0,0,0,0,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,46,0,0,0.278688525,0,0.198769836,0,0,0,0.06967082,0,0,0,0.04712918,0,0,0,0.054302689,0,0.035859934,0,0,0,0,0,0,0,0.084015213,0,0,0,0,0,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,47,0,0,0.290983607,0,0,0,0,0,0.072744656,0,0,0,0,0,0,0,0.06659777,0,0.03893377,0.203891934,0,0.033810098,0,0,0,0,0,0.034833836,0,0,0,0,0.013319607,0,0.01331882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007171672,0
ABS MARION-ET - 29HO18009,48,0.622948459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017417967,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,49,0.622948459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017417967,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,50,0,0,0.290983607,0,0,0,0,0,0.072744656,0,0,0,0,0,0,0,0,0,0,0,0,0.033810098,0,0,0,0,0.084015213,0,0,0,0,0,0,0,0.01331882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
