column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,JOCKO BESN,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,PICSTON SHOTTLE,BRAEDALE GOLDWYN,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,DIXIE-LEE AARON -ET,ROUMARE,Q250 BESNE BUCK,EMPRISE BELL ELTON,GIBBON,TO-MAR BLACKSTAR ET,MADAWASKA AEROSTAR,OUT-JOCK CHOICE AMEL,HILL VALLEY BASAR ACME,BASAR,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,STARTMORE RUDOLPH,A RONNYBROOK PRELUDE ET,MARA-THON BW MARSHALL,FUSTEAD EMORY BLITZ,ETAZON ADDISON,ELITE GOLD BULLION-IMP-ET,EMERALD-ACRES-SA TONIC ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,CARENDA FABULON-ET,END-ROAD PVF BOLIVER,REGANCREST ELTON DURHAM,HOW-EL-ACRES K BELLMAN ET,JENNY-LOU MRSHL TOYSTORY,SANDY-VALLEY BOLTON,BADGER-BLUFF FANNY FREDDIE,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,FATAL,CHARLESDALE SUPERSTITION,BELT,BARBEE-M JUROR ITO,NORRIELAKE CLEITUS LUKE TWIN,REGANCREST ALTAIOTA,DE-SU OBSERVER
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,25,0.5,0,0,0.098726115,0.098726115,0,0.136942675,0.28343949,0,0.105095541,0,0,0,0,0,0,0,0,0,0,0,0.047770701,0,0,0,0,0,0,0.041401274,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0.00955414,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,26,0.5,0.404458599,0,0.197452229,0.197452229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01910828,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,27,0.5,0.404458599,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0.041401274,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,28,0,0,0.535031847,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0.207006369,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0,0,0,0,0,0,0.082802548,0.079617834,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,29,0,0,0.535031847,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0.207006369,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0,0,0,0,0,0,0.082802548,0.079617834,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,30,0.5,0,0,0.098726115,0.098726115,0.197452229,0,0,0.200636943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012738854,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,31,0.5,0,0,0.098726115,0.098726115,0.197452229,0.136942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035031847,0,0,0,0,0.01910828,0,0,0,0.015923567,0,0,0,0,0
HILL VALLEY SS NARDOO - NARDOO,32,0.5,0,0,0.197452229,0.197452229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073248408,0,0,0,0,0.038216561,0,0,0,0,0.041401274,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0.00955414,0,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,33,0.5,0,0,0.098726115,0.098726115,0,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,34,0.5,0,0,0.098726115,0,0.197452229,0,0,0.200636943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012738854,0,0,0,0,0,0,0,0,0,0.006369427
