column,Row Order,GIBBON,MADAWASKA AEROSTAR,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,CARENDA FABULON-ET,JOCKO BESN,HANOVERHILL STARBUCK,MAUGHLIN STORM,Q250 BESNE BUCK,BRAEDALE GOLDWYN,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,EMPRISE BELL ELTON,BASAR,ROUMARE,BELT,AG-HIGH SIGHTS BS INGOT-ET,A MARK CJ GILBROOK GRAND ET,OSDEL-ENDEAVOR BOVA CUBBY,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,A RONNYBROOK PRELUDE ET,ETAZON KNOCK OUT,BIS-MAY TRADITION CLEITUS,BUSHLEA WAVES FABULON,ROTHROCK TRADITION LEADMAN,DIXIE-LEE AARON -ET,LONG-LANGS OMAN OMAN,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,PICSTON SHOTTLE,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,BUSHLEA PERFECTOR BOLD-ET,MANNA FARM DEL SANTO,CARLIN-M IVANHOE BELL,LEKKER VALIANT ROYALTY,EMERALD-ACRES-SA TONIC ET,PETICOTE US MSC MAGLEY-ET,CAROL PRELUDE MTOTO ET,LANCELOT,LUKAS-ET,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
DE-SU RANSOM - ET - DESURANSOM,36,0,0.109215017,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,37,0,0.109215017,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,38,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0,0,0,0,0,0.020477816,0.020477816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,40,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0.049488055,0,0,0,0,0,0.02559727,0,0,0,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,41,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020477816,0.020477816,0.010238908,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,42,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,43,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,44,0,0,0.088737201,0.088737201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,45,0,0.109215017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018771331,0,0,0,0,0,0,0.010238908,0.010238908,0.020477816,0,0,0,0,0,0,0,0,0.003412969,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034129693,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010238908,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0.001706485,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010238908,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
