column,Row Order,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CARENDA FABULON-ET,O-BEE MANFRED JUSTICE,JOCKO BESN,BASAR,ROUMARE,SHOREMAR JAMES,GIBBON,MAUGHLIN STORM,RALMA GOLD CROWN,Q250 BESNE BUCK,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,JARDIN,PIROLO GOLDW_ WYMAN,SHOREMAR PERFECT STAR (ET),ENSENADA TABOO PLANET ET,A MARK CJ GILBROOK GRAND ET,BELT,FATAL,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,EMERALD-ACRES-SA TONIC ET,REGANCREST ELTON DURHAM,OSDEL-ENDEAVOR BOVA CUBBY,WALKWAY CHIEF MARK,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,27,0,0,0,0,0.159778194,0,0,0,0,0,0,0,0,0.039817548,0,0,0,0,0.006048387,0,0,0,0,0.0126,0,0.001512,0,0,0.006048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,28,0,0,0,0,0.153225806,0,0,0,0,0,0,0,0,0.038305419,0,0,0,0,0.008064516,0,0,0,0,0,0,0.002016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,29,0,0,0,0,0.153729806,0,0,0,0,0,0,0,0,0.038305419,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,30,0,0,0,0,0.153729806,0,0,0,0,0,0,0,0,0.038305419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,31,0,0,0,0,0.153225806,0,0,0,0,0,0,0,0,0.038305419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,32,0,0,0,0,0.151713677,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,33,0,0,0,0,0.151713677,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,34,0,0,0,0,0.151713677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,35,0,0,0,0,0.151713677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,36,0,0,0,0,0.151713677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
