column,Row Order,BASAR,HILL VALLEY BASAR ACME,O-BEE MANFRED JUSTICE,CARENDA FABULON-ET,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,BELT,ROUMARE,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,PICSTON SHOTTLE,FATAL,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OSDEL-ENDEAVOR BOVA CUBBY,EMERALD-ACRES-SA TONIC ET,JARDIN,CAROL PRELUDE MTOTO ET,WALKWAY CHIEF MARK,REGANCREST ELTON DURHAM,RALMA GOLD CROWN,PIROLO GOLDW_ WYMAN,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,26,0,0,0.237288136,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,27,0,0,0.118644068,0,0,0.172316384,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,28,0,0,0.118644068,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0.005649718,0,0,0,0.014124294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,29,0,0,0.118644068,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0.005649718,0,0,0,0.014124294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,30,0,0,0.118644068,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0.011299435,0.011299435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,31,0,0,0.118644068,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,32,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,33,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,34,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,35,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,36,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
