column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,CAROL PRELUDE MTOTO ET,BRAEDALE GOLDWYN,HA-HO CUBBY MANFRED-ET,A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,ENSENADA TABOO PLANET ET,JOCKO BESN,MAUGHLIN STORM,DIXIE-LEE AARON -ET,ROUMARE,ELITE GOLD BULLION-IMP-ET,OSDEL-ENDEAVOR BOVA CUBBY,GIBBON,OUT-JOCK CHOICE AMEL,RAMOS,BURLANE TENNYSON,ROSE-BAUM TABOO,NORRIELAKE CLEITUS LUKE TWIN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,MARA-THON BW MARSHALL,AG-HIGH SIGHTS BS INGOT-ET,DE-SU 521 BOOKEM,BIS-MAY S-E-L MOUNTAIN ET,ELITE MOUNTAIN DONOR IMP (E_T),HANOVERHILL STARBUCK,KED JUROR ET,LANCELOT,DELLKA JUROR GORDON - TW,JENNY-LOU MRSHL TOYSTORY,END-ROAD BLACKSTAR MAJIC-ET,BIS-MAY TRADITION CLEITUS,MAIZEFIELD BELLWOOD - (E_T_),MJR BLACKSTAR EMORY-ET,LUKAS-ET,CARLIN-M IVANHOE BELL,ROTHROCK TRADITION LEADMAN,HOW-EL-ACRES K BELLMAN ET,SHEN-VAL NV LM FORMATION-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SAVANNAHS HF HAMMER S1F
WINTERSELL MILO - CBWINTERSELL,14,0.510008255,0,0,0.623680706,0.136719376,0,0,0.107115645,0,0,0.162559383,0,0,0,0.023654984,0,0,0,0,0,0,0,0.038333198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013222557,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,15,0,0.994662137,0.37558937,0,0,0.106630602,0.113908108,0,0.077641637,0,0,0,0,0,0,0,0.027901609,0,0,0.01941013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003760526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,16,0,1,0.376923843,0,0,0.106994555,0.114272061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017832359,0,0,0,0,0,0,0,0,0,0,0,0.016255643,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,17,0,0.992721097,0.37510411,0,0,0,0,0,0.077641637,0,0,0,0,0,0,0,0.027901609,0,0,0.01941013,0,0,0,0.062355396,0,0,0,0,0,0,0,0,0.092199444,0.003760526,0,0.014799676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,18,0.504185133,0,0.376923843,0,0.135263596,0.106994555,0.113908108,0.106751692,0,0,0,0,0,0,0.023291031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017711051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,19,0,0,0,0.629503828,0,0,0.114029415,0,0,0,0.162923336,0,0,0,0,0,0,0,0,0,0,0,0.038697151,0,0,0,0.132836021,0.130777462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,20,0.504185133,0,0,0,0.135263596,0,0,0.106751692,0,0.170568708,0,0.09183546,0.139269687,0,0.023291031,0.048646399,0,0,0,0,0.035180637,0.041609551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,21,0.504185133,0,0,0,0.135263596,0,0,0.106751692,0,0.170568708,0,0.09183546,0.139269687,0,0.023291031,0.048646399,0,0,0,0,0.035180637,0.041609551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,22,0,0,0,0.629503828,0,0,0.114029415,0,0,0,0.162923336,0,0,0,0,0.049010352,0,0,0,0,0,0,0.038697151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,23,0.504185133,0,0,0,0.135263596,0,0,0.106751692,0,0,0,0,0,0.218973641,0.023291031,0.049010352,0,0,0,0,0,0,0,0,0.054712757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,24,0,0,0,0.629503828,0,0,0.114029415,0,0,0,0.162923336,0,0,0,0,0,0,0,0,0,0,0,0.038697151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,25,0.504185133,0,0,0,0.135263596,0,0.114272061,0.106751692,0,0,0,0,0,0,0.023291031,0,0,0.068542752,0,0,0,0,0,0,0,0,0,0,0.017711051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,26,0.502729352,0,0,0,0.134899643,0.106630602,0.113908108,0,0,0,0,0,0,0,0,0,0,0.062719629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008613128,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,27,0.502729352,0,0,0,0.134899643,0.106630602,0.113908108,0,0,0,0,0,0,0,0,0,0,0.062719629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008613128,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,28,0,0,0.375468063,0,0,0.106630602,0,0,0,0.170568708,0,0,0.139269687,0,0,0.048646399,0,0,0,0,0,0.041609551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014071863,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,29,0.504185133,0,0,0,0.135263596,0,0,0.106751692,0.08346476,0,0,0,0,0,0.023291031,0,0.028265562,0,0,0.02086591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004124479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
