column,Row Order,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,OUT-JOCK CHOICE AMEL,JOCKO BESN,GIBBON,Q250 BESNE BUCK,NORRIELAKE CLEITUS LUKE TWIN,HANOVERHILL STARBUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,RAMOS,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,BIS-MAY TRADITION CLEITUS,MARA-THON BW MARSHALL,END-ROAD BLACKSTAR MAJIC-ET,ROTHROCK TRADITION LEADMAN,ROUMARE,KED JUROR ET,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),SHEN-VAL NV LM FORMATION-ET,HOW-EL-ACRES K BELLMAN ET,MJR BLACKSTAR EMORY-ET,LUKAS-ET,DELLKA JUROR GORDON - TW,BURLANE TENNYSON,LANCELOT,DE-SU 521 BOOKEM,JENNY-LOU MRSHL TOYSTORY,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SAVANNAHS HF HAMMER S1F
DE-SU DISTINCTION 11130 - 7HO11775,25,0,0.497729852,0,0,0.303632236,0.286038593,0.376844495,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0.056186152,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,26,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0.150397276,0.089103292,0.131101022,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0.041430193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,27,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0.150397276,0.089103292,0.131101022,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0.041430193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,28,0,0.497729852,0,0.416572077,0,0,0,0,0,0,0,0,0.150397276,0.089103292,0.131101022,0,0,0,0,0,0,0,0,0,0,0,0.041430193,0,0,0,0,0,0,0.053348468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLANA - CARLANA,29,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0.089103292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063564132,0.061293984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,30,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,31,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0.093643587,0.017026107,0,0,0,0,0,0.0584563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,32,0,0.497729852,0,0.416572077,0,0,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,33,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052780931,0,0,0,0,0,0.057888763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,34,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,35,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,36,0,0.497729852,0,0,0,0,0.376844495,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0.093643587,0.017026107,0,0,0,0,0,0.0584563,0,0,0,0,0,0,0,0,0,0,0.035754824,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,37,0,0,0,0.416572077,0.303632236,0.286038593,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0.019296254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,38,0,0,0,0.416572077,0.303632236,0.286038593,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0.019296254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
