column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,ROUMARE,JOCKO BESN,HILL VALLEY BASAR ACME,SHOREMAR JAMES,BUSHLEA PERFECTOR BOLD-ET,ROSE-BAUM TABOO,DE-SU OBSERVER,CARENDA FABULON-ET,MAUGHLIN STORM,GIBBON,PICSTON SHOTTLE,ELITE MOUNTAIN DONOR IMP (E_T),EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,Q250 BESNE BUCK,ELITE GOLD BULLION-IMP-ET,BASAR,CAROL PRELUDE MTOTO ET,OUT-JOCK CHOICE AMEL,A MARK CJ GILBROOK GRAND ET,TO-MAR BLACKSTAR ET,COUNTRY ROAD ROUMARE CANBEE,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,BUSHLEA WAVES FABULON,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,SOUTHWIND BELL OF BAR-LEE,ROYLANE SOCRA ROBUST,SHOREMAR PERFECT STAR (ET),HANOVERHILL STARBUCK,MANNA FARM DEL SANTO,FAIRMONT MINT-EDITION,AG-HIGH SIGHTS BS INGOT-ET,A RONNYBROOK PRELUDE ET,BELT,FATAL,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,ETAZON CELSIUS,CARLIN-M IVANHOE BELL
MANNA FARM DEL SANTO - DELSANTO,10,0,0,0,0,0,0,0,1,0,0,0,0,0.333965481,0,0.131557944,0,0,0,0,0.070837286,0,0,0.247309446,0,0,0,0.032256367,0,0,0,0,0,0,0,0.040478334,0,0.08348801,0.020239248,0.16192305,0,0,0,0.051230834,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,11,0.808982131,0.691967953,0,0.199870041,0,0,0,0,0.172675226,0,0,0,0,0.121437916,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0,0.041110805,0,0,0,0.02023941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012017281,0,0,0
BALLYCAIRN OMAN PELLO - 29HO12772,12,0.839342703,0.661607381,0,0.207460184,0,0,0,0,0.165085083,0,0,0,0,0.119540339,0,0,0,0.038581891,0.037316948,0,0,0,0,0,0,0.039213229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005059771
EDELWEISS - EDELWEISS,13,0,0,0.447818435,0,0,0.765339173,0.42125172,0,0,0,0.111953921,0,0,0,0.129660368,0,0,0,0,0,0.100567006,0,0,0,0.0284617,0,0.032256367,0,0,0,0.025299343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,14,0.808982131,0.654017238,0,0.199870041,0,0,0,0,0.163187507,0,0,0,0,0,0,0.084123882,0,0.036684315,0.035419372,0,0,0,0,0.032257662,0,0,0,0,0,0.019606938,0,0,0,0,0,0,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,15,0,0,0,0,0,0.795699745,0.428841863,0,0,0,0,0,0,0,0.131557944,0,0,0,0,0,0.102464582,0.304235761,0,0,0,0,0.032256367,0,0,0,0,0,0,0,0.041110805,0,0,0.020239248,0,0,0.066411282,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,16,0.808982131,0,0,0.199870041,0.627451819,0,0,0,0,0,0,0,0,0,0,0.084123882,0,0.036684315,0.035419372,0,0,0,0,0.032257662,0,0,0,0,0,0.019606938,0,0,0.040479953,0,0,0,0,0,0,0,0,0.007589819,0,0,0.010752014,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,17,0.808982131,0,0,0.199870041,0.627451819,0,0,0,0,0,0,0,0,0,0,0.084123882,0,0.036684315,0.035419372,0,0,0,0,0.032257662,0,0,0,0,0,0.019606938,0,0,0.040479953,0,0,0,0,0,0,0,0,0.007589819,0,0,0.010752014,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,18,0.808982131,0,0,0.199870041,0.627451819,0,0,0,0,0,0,0,0,0,0,0.084123882,0,0.036684315,0.035419372,0,0,0,0,0.032257662,0,0,0,0,0,0.019606938,0,0,0.040479953,0,0,0,0,0,0,0,0,0.007589819,0,0,0.010752014,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,19,0.808982131,0,0,0.199870041,0.627451819,0,0,0,0,0,0,0,0,0,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040479953,0,0,0,0,0,0,0,0,0,0,0,0.010752014,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,20,0.808982131,0,0.447818435,0.199870041,0,0,0,0,0,0,0.111953921,0,0,0,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0.0284617,0,0.032256367,0,0,0,0.025299343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,21,0.808982131,0,0.417457863,0.199870041,0,0,0,0,0,0,0.104363778,0,0,0,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0.026564124,0,0,0,0,0,0.023401767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,22,0,0.691967953,0,0,0,0,0,0,0.172675226,0,0,0,0,0.121437916,0,0,0.425043634,0,0,0.070837286,0,0,0,0,0,0.041110805,0,0,0,0.02023941,0,0,0,0.092342287,0,0,0,0,0,0,0,0,0,0,0,0,0.012017281,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,23,0.801391988,0,0.417457863,0.197972464,0,0,0,0,0,0,0.104363778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026564124,0,0,0,0,0,0.023401767,0,0,0,0,0.050600953,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,24,0.801391988,0,0.417457863,0.197972464,0,0,0,0,0,0,0.104363778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026564124,0,0,0,0,0,0.023401767,0,0,0,0,0.050600953,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,25,0.801391988,0,0.417457863,0.197972464,0,0,0,0,0,0,0.104363778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026564124,0,0,0,0,0,0.023401767,0,0,0,0,0.050600953,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,26,0,0,0,0,0,0.765339173,0.42125172,0,0,0,0,0,0,0,0.129660368,0,0,0,0,0,0.100567006,0,0,0.032257662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007589819,0,0,0,0.012017605,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,27,0.808982131,0,0,0.199870041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036684315,0.035419372,0.070837286,0,0,0,0,0,0,0,0,0.163185564,0,0,0,0,0,0,0,0,0,0,0.141682669,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,28,0.839342703,0,0,0.207460184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039214362,0.037316948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092342287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005059771
VH MOGENS - VIKVHMOGENS,29,0.808982131,0,0,0.199870041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036684315,0.035419372,0,0,0,0,0.039847805,0,0,0.032256367,0,0,0.019606938,0,0,0,0,0,0,0,0.020239248,0,0,0,0.009487395,0,0,0,0.013915181,0,0,0,0
GALLRAE TENNYSON YJ - YJ,30,0.808982131,0,0,0.199870041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036684315,0.035419372,0,0,0,0,0.032257662,0,0,0.032256367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,31,0.808982131,0,0,0.199870041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036684315,0.035419372,0,0,0,0,0,0,0,0,0,0,0.021504514,0,0,0,0,0,0,0,0.020239248,0,0,0,0,0,0,0,0.021505324,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,32,0.839342703,0,0,0.207460184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039214362,0.037316948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005059771
VH OYVIND - VIKHOYVIND,33,0.839342703,0,0,0.207460184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038581891,0.037316948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005059771
DE-SU RANSOM - ET - DESURANSOM,34,0.801391988,0,0,0.197972464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019606938,0,0,0,0,0,0.050600953,0,0,0,0,0,0.007589819,0,0,0,0.013915181,0,0,0,0
MR APPLES ARMANI - 7H11703,35,0,0.691967953,0,0,0,0,0,0,0.172675226,0,0,0,0,0.121437916,0,0,0,0,0,0,0,0,0,0,0,0.041110805,0,0,0,0.02023941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012017281,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,36,0.801391988,0,0,0.197972464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114484454,0.425043634,0,0,0.070837286,0,0,0,0.039847805,0,0,0.032256367,0,0,0.021504514,0,0,0,0.092342287,0,0,0,0.020871719,0,0,0,0.009487395,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,38,0.799494411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,39,0,0,0.447818435,0,0,0,0,0,0,0,0.111953921,0,0,0,0,0.084123882,0,0,0,0,0,0,0,0.032257662,0.0284617,0,0.032256367,0,0,0.019606938,0.025299343,0,0,0,0,0,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,40,0,0,0.488299198,0,0,0,0,0,0,0,0.142314492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036051843,0,0.034153943,0,0,0,0.032889486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012649753,0,0,0
