column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,MANNA FARM DEL SANTO,JOCKO BESN,CAROL PRELUDE MTOTO ET,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,EMPRISE BELL ELTON,BUSHLEA WAVES FABULON,A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,GIBBON,MAUGHLIN STORM,ELITE MOUNTAIN DONOR IMP (E_T),OSDEL-ENDEAVOR BOVA CUBBY,ADLEJAMA DELSANTO PICOLA,BASAR,END-ROAD BLACKSTAR MAJIC-ET,ELITE GOLD BULLION-IMP-ET,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,MJR BLACKSTAR EMORY-ET,BIS-MAY S-E-L MOUNTAIN ET,MARA-THON BW MARSHALL,NORRIELAKE CLEITUS LUKE TWIN,DIXIE-LEE AARON -ET,BELT,FUSTEAD EMORY BLITZ,KED JUROR ET,ETAZON CELSIUS,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,HOW-EL-ACRES K BELLMAN ET,ATHOL M K VULCAN,BIS-MAY TRADITION CLEITUS,D LIMBO,EMERALD-ACRES-SA TONIC ET,ETAZON JIMTOWN,FULLERTONS WARD,HANOVER HILL INSPIRATION,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LANCELOT,LLOYDS EXCELLENCY,LUKAS-ET,MCMILLANS TROPHY
VH MIRACLE - VIKVHMIRACLE,33,0,0,0,0,0,0.266659489,0.067548149,0,0,0,0,0,0.030290171,0,0.050684795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,34,0.325221971,0,0,0.083499942,0,0,0,0,0,0.093699515,0.03907399,0,0,0,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0.00757242,0.005856129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,35,0.324010339,0,0,0.083197027,0,0,0,0,0,0,0,0,0.030290171,0.033318565,0,0,0,0,0,0,0,0,0,0,0.027261105,0,0,0,0,0,0.010298753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,36,0.324010339,0,0,0.083197027,0,0,0,0,0,0,0,0,0.030290171,0.033318565,0,0,0,0,0,0,0,0,0,0,0.027261105,0,0,0,0,0,0.010298753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,37,0.325221971,0,0,0.083499942,0,0,0,0,0,0,0.03907399,0,0,0.03362148,0,0,0,0.01433706,0,0,0,0,0.024231548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,38,0.325221971,0,0,0.083499942,0,0,0,0,0,0,0.03907399,0,0,0,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,39,0.330068498,0,0,0.084711574,0,0,0,0,0,0,0.039477868,0,0,0,0,0,0,0.014639974,0,0,0,0,0,0,0,0,0.021001383,0,0,0,0,0,0,0,0.010904375,0.009793396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,40,0,0,0,0,0,0,0.06875978,0,0,0,0,0,0.030593086,0.03362148,0,0,0,0,0,0,0,0,0.024332511,0,0,0,0,0,0,0,0,0,0.040790927,0,0,0,0.008884834,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,41,0.330068498,0,0,0.084711574,0,0,0,0,0,0,0.039376905,0,0,0,0,0,0,0.014639974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009793396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,42,0,0,0.207592892,0,0,0,0.067548149,0,0,0,0,0,0.030290171,0,0,0,0,0,0,0,0.011510255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0.214054927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012721887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,44,0,0,0.202746365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011207341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,45,0,0,0.202746365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011207341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,46,0,0,0,0,0,0,0.06875978,0,0,0,0,0,0.030593086,0.033318565,0,0,0,0,0,0,0,0,0.024231548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
